wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
173.232,23.872,#N/A,,173.232,26.024,#N/A,,173.232,91.7307101137412,#N/A,#N/A,#N/A
173.496,24.443,23.872,,173.496,28.858,26.024,,173.496,84.7009494767482,0.917307101137411,91.7307101137412,#N/A
173.761,25.497,23.9291,,173.761,31.733,26.3074,,173.761,80.3485330728264,0.909595779134388,90.9595779134388,#N/A
174.025,26.427,24.08589,,174.025,33.08,26.84996,,174.025,79.8881499395405,0.897054967679654,89.7054967679654,#N/A
174.29,27.572,24.320001,,174.29,33.457,27.472964,,174.29,82.4102579430314,0.885233970386304,88.5233970386304,#N/A
174.555,28.235,24.6452009,,174.555,34.767,28.0713676,,174.555,81.212068915926,0.877947994952693,87.7947994952693,#N/A
174.819,30.235,25.00418081,,174.819,37.221,28.74093084,,174.819,81.2310254963596,0.869985072828629,86.9985072828629,#N/A
175.084,29.872,25.527262729,,175.084,37.766,29.588937756,,175.084,79.0976010167876,0.862729947911821,86.2729947911821,#N/A
175.348,30.69,25.9617364561,,175.348,37.13,30.4066439804,,175.348,82.6555346081336,0.853817885092312,85.3817885092312,#N/A
175.613,29.144,26.43456281049,,175.613,39.312,31.07897958236,,175.613,74.1351241351241,0.850560834548567,85.0560834548567,#N/A
175.877,27.962,26.705506529441,,175.877,42.312,31.902281624124,,175.877,66.0852713178295,0.837103340886023,83.7103340886024,#N/A
176.142,29.599,26.8311558764969,,176.142,41.584,32.9432534617116,,176.142,71.1788187764525,0.814465878656505,81.4465878656505,#N/A
176.406,30.78,27.1079402888472,,176.406,41.493,33.8073281155404,,176.406,74.1811871882004,0.801836223087572,80.1836223087572,#N/A
176.671,30.326,27.4751462599625,,176.671,39.948,34.5758953039864,,176.671,75.9136877941324,0.794632966649305,79.4632966649305,#N/A
176.935,29.689,27.7602316339662,,176.935,39.857,35.1131057735878,,176.935,74.4887974508869,0.790594594877666,79.0594594877666,#N/A
177.2,28.326,27.9531084705696,,177.2,39.584,35.587495196229,,177.2,71.5592158447858,0.785475581139851,78.5475581139851,#N/A
177.464,27.598,27.9903976235127,,177.464,37.584,35.9871456766061,,177.464,73.4301830566198,0.777788765884486,77.7788765884486,#N/A
177.729,28.507,27.9511578611614,,177.729,36.038,36.1468311089455,,177.729,79.1026139075421,0.773267171800411,77.3267171800411,#N/A
177.993,29.598,28.0067420750453,,177.993,36.856,36.1359479980509,,177.993,80.3071413067072,0.775038254885574,77.5038254885574,#N/A
178.258,29.416,28.1658678675407,,178.258,38.766,36.2079531982458,,178.258,75.8809265851519,0.777891744206775,77.7891744206775,#N/A
178.523,30.234,28.2908810807867,,178.523,38.402,36.4637578784213,,178.523,78.7302744648716,0.775863013766028,77.5863013766028,#N/A
178.787,31.234,28.485192972708,,178.787,37.584,36.6575820905791,,178.787,83.1045125585355,0.777061424900378,77.7061424900378,#N/A
179.052,32.598,28.7600736754372,,179.052,38.311,36.7502238815212,,179.052,85.0878337814205,0.782582271285111,78.2582271285111,#N/A
179.316,32.78,29.1438663078935,,179.316,36.856,36.9063014933691,,179.316,88.9407423486,0.789671821033861,78.9671821033861,#N/A
179.581,33.234,29.5074796771041,,179.581,37.856,36.9012713440322,,179.581,87.7905748098056,0.799633145481753,79.9633145481753,#N/A
179.845,32.87,29.8801317093937,,179.845,36.583,36.996744209629,,179.845,89.8504769975125,0.807642195218274,80.7642195218274,#N/A
180.11,35.325,30.1791185384543,,180.11,36.492,36.9553697886661,,180.11,96.8020388030253,0.816636897723861,81.6636897723861,#N/A
180.374,35.598,30.6937066846089,,180.374,36.674,36.9090328097995,,180.374,97.0660413371871,0.831604199513449,83.1604199513449,#N/A
