wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
173.232,5.472,#N/A,,173.232,26.024,#N/A,,173.232,21.0267445434983,#N/A,#N/A,#N/A
173.496,4.972,5.472,,173.496,28.858,26.024,,173.496,17.2291912121422,0.210267445434983,21.0267445434983,#N/A
173.761,7.347,5.422,,173.761,31.733,26.3074,,173.761,23.1525541234677,0.206101705223625,20.6101705223625,#N/A
174.025,7.86,5.6145,,174.025,33.08,26.84996,,174.025,23.7605804111246,0.209106456769396,20.9106456769396,#N/A
174.29,7.071,5.83905,,174.29,33.457,27.472964,,174.29,21.1345906686194,0.212538042855514,21.2538042855514,#N/A
174.555,7.608,5.962245,,174.555,34.767,28.0713676,,174.555,21.882819915437,0.212395957509388,21.2395957509388,#N/A
174.819,8.335,6.1268205,,174.819,37.221,28.74093084,,174.819,22.3932726149217,0.213174045548763,21.3174045548763,#N/A
175.084,8.153,6.34763845,,175.084,37.766,29.588937756,,175.084,21.5882010273791,0.214527419076166,21.4527419076166,#N/A
175.348,6.335,6.528174605,,175.348,37.13,30.4066439804,,175.348,17.0616751952599,0.214695663526959,21.4695663526959,#N/A
175.613,6.79,6.5088571445,,175.613,39.312,31.07897958236,,175.613,17.2720797720798,0.209429564032222,20.9429564032222,#N/A
175.877,7.517,6.53697143005,,175.877,42.312,31.902281624124,,175.877,17.7656456797126,0.204906078727198,20.4906078727198,#N/A
176.142,9.153,6.634974287045,,176.142,41.584,32.9432534617116,,176.142,22.0108695652174,0.201406163321316,20.1406163321316,#N/A
176.406,10.608,6.8867768583405,,176.406,41.493,33.8073281155404,,176.406,25.5657580796761,0.203706629367578,20.3706629367578,#N/A
176.671,9.153,7.25889917250645,,176.671,39.948,34.5758953039864,,176.671,22.9122859717633,0.209941032869496,20.9941032869496,#N/A
176.935,8.79,7.44830925525581,,176.935,39.857,35.1131057735878,,176.935,22.0538424868906,0.212123339452885,21.2123339452885,#N/A
177.2,8.88,7.58247832973023,,177.2,39.584,35.587495196229,,177.2,22.4333063864188,0.213065805500515,21.3065805500515,#N/A
177.464,8.971,7.7122304967572,,177.464,37.584,35.9871456766061,,177.464,23.8691996594295,0.214305145677909,21.4305145677909,#N/A
177.729,9.699,7.83810744708148,,177.729,36.038,36.1468311089455,,177.729,26.9132582274266,0.216840790924595,21.6840790924595,#N/A
177.993,11.517,8.02419670237333,,177.993,36.856,36.1359479980509,,177.993,31.2486433687866,0.222055796150862,22.2055796150862,#N/A
178.258,12.426,8.373477032136,,178.258,38.766,36.2079531982458,,178.258,32.0538616313264,0.231260711874254,23.1260711874254,#N/A
178.523,12.88,8.7787293289224,,178.523,38.402,36.4637578784213,,178.523,33.539919795844,0.24075218352954,24.075218352954,#N/A
178.787,14.244,9.18885639603016,,178.787,37.584,36.6575820905791,,178.787,37.8991060025543,0.250667280054777,25.0667280054777,#N/A
179.052,13.699,9.69437075642715,,179.052,38.311,36.7502238815212,,179.052,35.7573542846702,0.263790794518171,26.3790794518171,#N/A
179.316,14.153,10.0948336807844,,179.316,36.856,36.9063014933691,,179.316,38.4008031256783,0.273526017842729,27.352601784273,#N/A
179.581,14.062,10.500650312706,,179.581,37.856,36.9012713440322,,179.581,37.1460270498732,0.284560664991945,28.4560664991945,#N/A
179.845,13.608,10.8567852814354,,179.845,36.583,36.996744209629,,179.845,37.1976054451521,0.293452451381107,29.3452451381107,#N/A
180.11,15.062,11.1319067532919,,180.11,36.492,36.9553697886661,,180.11,41.2747999561548,0.301225689715759,30.1225689715759,#N/A
180.374,14.426,11.5249160779627,,180.374,36.674,36.9090328097995,,180.374,39.3357692097944,0.312251912353086,31.2251912353086,#N/A
180.639,14.608,11.8150244701664,,180.639,37.128,36.8855295288195,,180.639,39.3449687567335,0.320315978138122,32.0315978138122,#N/A
180.903,13.607,12.0943220231498,,180.903,37.583,36.9097765759376,,180.903,36.2051991591943,0.327672588271216,32.7672588271216,#N/A
181.168,13.062,12.2455898208348,,181.168,35.674,36.9770989183438,,181.168,36.614901609015,0.331166862167219,33.1166862167219,#N/A
181.432,11.88,12.3272308387513,,181.432,36.037,36.8467890265094,,181.432,32.9661181563393,0.334553733566376,33.4553733566376,#N/A
181.697,9.607,12.2825077548762,,181.697,35.855,36.7658101238585,,181.697,26.7940315158276,0.334074176891472,33.4074176891472,#N/A
181.961,9.335,12.0149569793886,,181.961,36.764,36.6747291114727,,181.961,25.3916875204004,0.327608608719894,32.7608608719894,#N/A
182.226,7.88,11.7469612814497,,182.226,37.219,36.6836562003254,,182.226,21.1719820521777,0.320223295554316,32.0223295554316,#N/A
