wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
173.232,8.177,#N/A,,173.232,26.024,#N/A,,173.232,31.4209960036889,#N/A,#N/A,#N/A
173.496,6.415,8.177,,173.496,28.858,26.024,,173.496,22.2295377365029,0.314209960036889,31.4209960036889,#N/A
173.761,6.468,8.0008,,173.761,31.733,26.3074,,173.761,20.3825670437715,0.304127355801029,30.4127355801029,#N/A
174.025,7.066,7.84752,,174.025,33.08,26.84996,,174.025,21.360338573156,0.29227306111443,29.227306111443,#N/A
174.29,8.643,7.769368,,174.29,33.457,27.472964,,174.29,25.8331589801835,0.282800501613149,28.2800501613149,#N/A
174.555,7.389,7.8567312,,174.555,34.767,28.0713676,,174.555,21.2529122443697,0.279884162109722,27.9884162109722,#N/A
174.819,8.479,7.80995808,,174.819,37.221,28.74093084,,174.819,22.7801509900325,0.27173643482453,27.173643482453,#N/A
175.084,6.661,7.876862272,,175.084,37.766,29.588937756,,175.084,17.6375575914844,0.266209700968489,26.6209700968489,#N/A
175.348,6.752,7.7552760448,,175.348,37.13,30.4066439804,,175.348,18.1847562617829,0.255052022505312,25.5052022505312,#N/A
175.613,6.025,7.65494844032,,175.613,39.312,31.07897958236,,175.613,15.3261090761091,0.246306299086629,24.6306299086629,#N/A
175.877,6.025,7.491953596288,,175.877,42.312,31.902281624124,,175.877,14.2394592550577,0.23484068269972,23.484068269972,#N/A
176.142,6.661,7.3452582366592,,176.142,41.584,32.9432534617116,,176.142,16.0181800692574,0.222966995205748,22.2966995205748,#N/A
176.406,8.57,7.27683241299328,,176.406,41.493,33.8073281155404,,176.406,20.6540862314125,0.215244233088278,21.5244233088278,#N/A
176.671,8.843,7.40614917169395,,176.671,39.948,34.5758953039864,,176.671,22.1362771603084,0.2141997801237,21.41997801237,#N/A
176.935,8.115,7.54983425452456,,176.935,39.857,35.1131057735878,,176.935,20.3602880297062,0.215014709983404,21.5014709983404,#N/A
177.2,7.297,7.6063508290721,,177.2,39.584,35.587495196229,,177.2,18.4342158447858,0.213736616952971,21.3736616952971,#N/A
177.464,7.66,7.57541574616489,,177.464,37.584,35.9871456766061,,177.464,20.3810131971051,0.210503378462977,21.0503378462977,#N/A
177.729,6.751,7.5838741715484,,177.729,36.038,36.1468311089455,,177.729,18.7330040512792,0.209807442004828,20.9807442004828,#N/A
177.993,10.66,7.50058675439356,,177.993,36.856,36.1359479980509,,177.993,28.9233774690688,0.207565794449287,20.7565794449287,#N/A
178.258,12.933,7.81652807895421,,178.258,38.766,36.2079531982458,,178.258,33.3617087138214,0.215878761115193,21.5878761115193,#N/A
178.523,13.387,8.32817527105879,,178.523,38.402,36.4637578784213,,178.523,34.8601635331493,0.228395967821717,22.8395967821717,#N/A
178.787,14.115,8.83405774395291,,178.787,37.584,36.6575820905791,,178.787,37.5558748403576,0.240988555167779,24.0988555167779,#N/A
179.052,13.478,9.36215196955762,,179.052,38.311,36.7502238815212,,179.052,35.1804964631568,0.254750882599796,25.4750882599796,#N/A
179.316,13.114,9.77373677260186,,179.316,36.856,36.9063014933691,,179.316,35.5817234642935,0.264825690386719,26.4825690386719,#N/A
179.581,13.478,10.1077630953417,,179.581,37.856,36.9012713440322,,179.581,35.6033389687236,0.273913681756559,27.3913681756559,#N/A
179.845,13.387,10.4447867858075,,179.845,36.583,36.996744209629,,179.845,36.5934997129814,0.282316376993224,28.2316376993224,#N/A
180.11,13.751,10.7390081072268,,180.11,36.492,36.9553697886661,,180.11,37.6822317220213,0.290593983192135,29.0593983192135,#N/A
180.374,13.75,11.0402072965041,,180.374,36.674,36.9090328097995,,180.374,37.4925014997001,0.299119387749789,29.9119387749789,#N/A
180.639,13.387,11.3111865668537,,180.639,37.128,36.8855295288195,,180.639,36.0563456151691,0.306656477793439,30.6656477793439,#N/A
180.903,11.387,11.5187679101683,,180.903,37.583,36.9097765759376,,180.903,30.298273155416,0.312079047307961,31.2079047307961,#N/A
181.168,10.205,11.5055911191515,,181.168,35.674,36.9770989183438,,181.168,28.6062678701575,0.311154510648852,31.1154510648852,#N/A
181.432,8.841,11.3755320072363,,181.432,36.037,36.8467890265094,,181.432,24.5331187390737,0.308725191740648,30.8725191740648,#N/A
181.697,7.659,11.1220788065127,,181.697,35.855,36.7658101238585,,181.697,21.3610375122019,0.302511457493907,30.2511457493908,#N/A
181.961,9.295,10.7757709258614,,181.961,36.764,36.6747291114727,,181.961,25.2828854314003,0.293820055033223,29.3820055033223,#N/A
182.226,8.659,10.6276938332753,,182.226,37.219,36.6836562003254,,182.226,23.2649990596201,0.28971195715167,28.971195715167,#N/A
182.491,8.204,10.4308244499478,,182.491,35.582,36.7371905802929,,182.491,23.0566016525209,0.283930923545994,28.3930923545994,#N/A
182.755,8.841,10.208142004953,,182.755,36.401,36.6216715222636,,182.755,24.2877942913656,0.278745933231013,27.8745933231013,26.404801538901
183.02,8.477,10.0714278044577,,183.02,38.037,36.5996043700372,,183.02,22.2861950206378,0.275178597632678,27.5178597632678,26.2846739089322
183.284,10.477,9.91198502401191,,183.284,40.4,36.7433439330335,,183.284,25.9331683168317,0.269762736948411,26.9762736948411,26.1887273375504
183.549,12.477,9.96848652161072,,183.549,40.946,37.1090095397301,,183.549,30.4718409612661,0.268627124389783,26.8627124389783,26.1354722376421
183.813,11.386,10.2193378694497,,183.813,41.491,37.4927085857571,,183.813,27.4420958762141,0.272568674148333,27.2568674148333,26.1083668084659
184.078,9.749,10.3360040825047,,184.078,43.218,37.8925377271814,,184.078,22.5577305752233,0.272771492817974,27.2771492817974,26.074797186383
184.342,9.658,10.2773036742542,,184.342,43.491,38.4250839544633,,184.342,22.2068933802396,0.267463401939047,26.7463401939047,26.0495428661037
184.607,9.386,10.2153733068288,,184.607,42.764,38.931675559017,,184.607,21.9483677859882,0.262392336321184,26.2392336321184,26.0266113319922
184.871,9.749,10.1324359761459,,184.871,42.855,39.3149080031153,,184.871,22.748804106872,0.257725033347224,25.7725033347224,26.0250071633219
185.136,11.204,10.0940923785313,,185.136,44.4,39.6689172028037,,185.136,25.2342342342342,0.254458480097306,25.4458480097306,26.0464074897619
