wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
173.232,24.191,#N/A,,173.232,26.024,#N/A,,173.232,92.956501690747,#N/A,#N/A,#N/A
173.496,24.429,24.191,,173.496,28.858,26.024,,173.496,84.6524360662555,0.92956501690747,92.956501690747,#N/A
173.761,26.108,24.2148,,173.761,31.733,26.3074,,173.761,82.2739734661078,0.920455841322213,92.0455841322213,#N/A
174.025,29.08,24.40412,,174.025,33.08,26.84996,,174.025,87.9081015719468,0.908907126863504,90.8907126863504,#N/A
174.29,30.057,24.871708,,174.29,33.457,27.472964,,174.29,89.8377021251158,0.905315786094285,90.5315786094285,#N/A
174.555,29.403,25.3902372,,174.555,34.767,28.0713676,,174.555,84.5715764949521,0.904488785932895,90.4488785932895,#N/A
174.819,31.585,25.79151348,,174.819,37.221,28.74093084,,174.819,84.8580102630236,0.897379198453267,89.7379198453268,#N/A
175.084,31.312,26.370862132,,175.084,37.766,29.588937756,,175.084,82.9105544669809,0.891240582864539,89.1240582864539,#N/A
175.348,30.948,26.8649759188,,175.348,37.13,30.4066439804,,175.348,83.3503905197953,0.883523217363845,88.3523217363845,#N/A
175.613,33.494,27.27327832692,,175.613,39.312,31.07897958236,,175.613,85.2004477004477,0.877547419298153,87.7547419298153,#N/A
175.877,33.221,27.895350494228,,175.877,42.312,31.902281624124,,175.877,78.51436944602,0.874399857129152,87.4399857129152,#N/A
176.142,31.675,28.4279154448052,,176.142,41.584,32.9432534617116,,176.142,76.1711235090419,0.862935880873018,86.2935880873018,#N/A
176.406,33.039,28.7526239003247,,176.406,41.493,33.8073281155404,,176.406,79.6254789964572,0.85048495409218,85.048495409218,#N/A
176.671,34.493,29.1812615102922,,176.671,39.948,34.5758953039864,,176.671,86.3447481726244,0.843977032372833,84.3977032372833,#N/A
176.935,34.039,29.712435359263,,176.935,39.857,35.1131057735878,,176.935,85.4028150638533,0.84619217539033,84.619217539033,#N/A
177.2,33.948,30.1450918233367,,177.2,39.584,35.587495196229,,177.2,85.7619240097009,0.847069782717695,84.7069782717695,#N/A
177.464,33.948,30.525382641003,,177.464,37.584,35.9871456766061,,177.464,90.3256704980843,0.84823016849726,84.823016849726,#N/A
177.729,33.402,30.8676443769027,,177.729,36.038,36.1468311089455,,177.729,92.6854986403241,0.85395160322266,85.395160322266,#N/A
177.993,34.493,31.1210799392125,,177.993,36.856,36.1359479980509,,177.993,93.5885608856089,0.861222180773866,86.1222180773866,#N/A
178.258,36.038,31.4582719452912,,178.258,38.766,36.2079531982458,,178.258,92.962905638962,0.868822155537233,86.8822155537233,#N/A
178.523,34.947,31.9162447507621,,178.523,38.402,36.4637578784213,,178.523,91.0030727566273,0.875286767128565,87.5286767128565,#N/A
178.787,35.856,32.2193202756859,,178.787,37.584,36.6575820905791,,178.787,95.4022988505747,0.878926498645586,87.8926498645587,#N/A
179.052,34.583,32.5829882481173,,179.052,38.311,36.7502238815212,,179.052,90.2691133094934,0.88660652389932,88.660652389932,#N/A
179.316,34.765,32.7829894233056,,179.316,36.856,36.9063014933691,,179.316,94.3265682656827,0.888276204788378,88.8276204788378,#N/A
179.581,33.492,32.981190480975,,179.581,37.856,36.9012713440322,,179.581,88.4721048182587,0.893768406337275,89.3768406337275,#N/A
179.845,31.856,33.0322714328775,,179.845,36.583,36.996744209629,,179.845,87.0786977557882,0.892842657875834,89.2842657875834,#N/A
180.11,31.492,32.9146442895898,,180.11,36.492,36.9553697886661,,180.11,86.2983667653184,0.890659313594108,89.0659313594108,#N/A
180.374,33.856,32.7723798606308,,180.374,36.674,36.9090328097995,,180.374,92.3160822380978,0.887923019536009,88.7923019536009,#N/A
180.639,34.128,32.8807418745677,,180.639,37.128,36.8855295288195,,180.639,91.9198448610213,0.891426591798749,89.1426591798749,#N/A
180.903,32.128,33.0054676871109,,180.903,37.583,36.9097765759376,,180.903,85.4854588510763,0.894220197166624,89.4220197166624,#N/A
181.168,30.674,32.9177209183998,,181.168,35.674,36.9770989183438,,181.168,85.9841901665078,0.890219132417385,89.0219132417385,#N/A
181.432,31.583,32.6933488265599,,181.432,36.037,36.8467890265094,,181.432,87.6404806171435,0.887278096418079,88.7278096418079,#N/A
181.697,32.492,32.5823139439039,,181.697,35.855,36.7658101238585,,181.697,90.6205550132478,0.886212321560138,88.6212321560138,#N/A
181.961,34.764,32.5732825495135,,181.961,36.764,36.6747291114727,,181.961,94.5598955499946,0.888166956884866,88.8166956884866,#N/A
182.226,33.31,32.7923542945621,,182.226,37.219,36.6836562003254,,182.226,89.4972997662484,0.893922735386209,89.3922735386209,#N/A
182.491,32.037,32.8441188651059,,182.491,35.582,36.7371905802929,,182.491,90.0370974088022,0.894029139036143,89.4029139036143,#N/A
182.755,32.128,32.7634069785953,,182.755,36.401,36.6216715222636,,182.755,88.2613115024313,0.894645318378691,89.4645318378691,88.3339656047717
183.02,31.855,32.6998662807358,,183.02,38.037,36.5996043700372,,183.02,83.7474038436259,0.893448627207184,89.3448627207184,88.2206928389253
183.284,30.946,32.6153796526622,,183.284,40.4,36.7433439330335,,183.284,76.5990099009901,0.887654093544271,88.7654093544271,88.0962411709862
183.549,30.4,32.448441687396,,183.549,40.946,37.1090095397301,,183.549,74.2441264103942,0.874408724184773,87.4408724184773,87.9640502413919
183.813,32.218,32.2435975186564,,183.813,41.491,37.4927085857571,,183.813,77.6505748234557,0.85999648291362,85.999648291362,87.8168576850578
184.078,33.946,32.2410377667908,,184.078,43.218,37.8925377271814,,184.078,78.5459762136147,0.850854540250635,85.0854540250635,87.6520214175027
184.342,34.673,32.4115339901117,,184.342,43.491,38.4250839544633,,184.342,79.7245407095721,0.843499366937543,84.3499366937543,87.4924351691493
184.607,34.764,32.6376805911005,,184.607,42.764,38.931675559017,,184.607,81.2926760826864,0.838332286562511,83.8332286562511,87.34197103067
184.871,33.855,32.8503125319905,,184.871,42.855,39.3149080031153,,184.871,78.9989499474974,0.83556885162716,83.556885162716,87.1990564901613
185.136,35.218,32.9507812787914,,185.136,44.4,39.6689172028037,,185.136,79.3198198198198,0.83064483737566,83.064483737566,87.0610985101838
185.4,36.673,33.1775031509123,,185.4,44.676,40.1420254825234,,185.4,82.086578923807,0.82650296670647,82.650296670647,86.9299707479188
185.665,36.127,33.5270528358211,,185.665,45.858,40.595422934271,,185.665,78.7801474115749,0.82588258509107,82.588258509107,86.8183490773928
185.929,35.581,33.787047552239,,185.929,44.039,41.1216806408439,,185.929,80.7942959649402,0.821635862778432,82.1635862778432,86.7364431480031
186.194,35.672,33.9664427970151,,186.194,45.403,41.4134125767595,,186.194,78.5674955399423,0.820179760217984,82.0179760217984,86.6619997373825
186.459,35.854,34.1369985173136,,186.459,45.403,41.8123713190836,,186.459,78.9683501090236,0.816432970443202,81.6432970443202,86.5737858695777
186.723,35.399,34.3086986655822,,186.723,45.585,42.1714341871752,,186.723,77.6549303498958,0.813553044302577,81.3553044302578,86.4724763507164
186.988,33.672,34.417728799024,,186.988,47.13,42.5127907684577,,186.988,71.4449395289624,0.80958526073899,80.958526073899,86.3398319572413
187.252,33.127,34.3431559191216,,187.252,48.13,42.9745116916119,,187.252,68.8281736962394,0.799151742911483,79.9151742911483,86.1585624189837
187.517,31.854,34.2215403272094,,187.517,48.311,43.4900605224508,,187.517,65.9352942394072,0.786881874067371,78.6881874067371,85.9197744172834
187.781,33.308,33.9847862944885,,187.781,45.493,43.9721544702057,,187.781,73.215659552019,0.772870620144747,77.2870620144747,85.6491008084774
188.046,32.217,33.9171076650396,,188.046,44.584,44.1242390231851,,188.046,72.2613493630002,0.768672920278985,76.8672920278985,85.3483901657517
188.31,30.49,33.7470968985357,,188.31,45.766,44.1702151208666,,188.31,66.6215094174715,0.764023829320068,76.4023829320068,85.0105511772957
188.575,30.217,33.4213872086821,,188.575,43.765,44.3297936087799,,188.575,69.0437564263681,0.753926072916854,75.3926072916854,84.6349933153408
188.839,31.035,33.1009484878139,,188.839,44.402,44.273314247902,,188.839,69.8955002026936,0.747650114976032,74.7650114976032,84.241727542779
189.104,31.308,32.8943536390325,,189.104,41.947,44.2861828231118,,189.104,74.6370419815481,0.742767868940509,74.2767868940509,83.8345451131691
189.368,31.035,32.7357182751293,,189.368,42.311,44.0522645408006,,189.368,73.3497199309872,0.743110907381615,74.3110907381615,83.4273592070143
189.633,30.944,32.5656464476163,,189.633,43.674,43.8781380867205,,189.633,70.8522232907451,0.742183872598554,74.2183872598554,83.0170146022144
189.897,30.762,32.4034818028547,,189.897,43.31,43.8577242780485,,189.897,71.0274763334103,0.738831809818121,73.8831809818121,82.6064341246617
190.162,28.762,32.2393336225692,,190.162,43.037,43.8029518502436,,190.162,66.8308664637405,0.736008242841514,73.6008242841514,82.1683758091391
