wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
173.232,4.4,#N/A,,173.232,26.786,#N/A,,173.232,16.4264914507579,#N/A,#N/A,#N/A
173.496,5.043,4.4,,173.496,28.501,26.786,,173.496,17.69411599593,0.164264914507579,16.4264914507579,#N/A
173.761,6.4,4.4643,,173.761,31.911,26.9575,,173.761,20.0557801385102,0.165605119169062,16.5605119169062,#N/A
174.025,8.122,4.65787,,174.025,31.675,27.45285,,174.025,25.6416732438832,0.169667994397667,16.9667994397667,#N/A
174.29,9.7,5.004283,,174.29,32.086,27.875065,,174.29,30.2312535062021,0.179525428909314,17.9525428909314,#N/A
174.555,11.446,5.4738547,,174.555,34.241,28.2961585,,174.555,33.4277620396601,0.193448686683035,19.3448686683035,#N/A
174.819,11.355,6.07106923,,174.819,36.968,28.89064265,,174.819,30.715754165765,0.210139639451738,21.0139639451738,#N/A
175.084,11.536,6.599462307,,175.084,38.604,29.698378385,,175.084,29.8829136877008,0.222216251050705,22.2216251050705,#N/A
175.348,12.446,7.0931160763,,175.348,38.968,30.5889405465,,175.348,31.9390268938616,0.231884986847366,23.1884986847366,#N/A
175.613,12.809,7.62840446867,,175.613,39.24,31.42684649185,,175.613,32.6427115188583,0.242735282735043,24.2735282735043,#N/A
175.877,12.627,8.146464021803,,175.877,40.604,32.208161842665,,175.877,31.0979213870555,0.252931665631774,25.2931665631774,#N/A
176.142,10.445,8.5945176196227,,176.142,41.24,33.0477456583985,,176.142,25.327352085354,0.260063657850095,26.0063657850095,#N/A
176.406,10.445,8.77956585766043,,176.406,39.694,33.8669710925587,,176.406,26.3138005743941,0.259236819072654,25.9236819072654,#N/A
176.671,10.718,8.94610927189439,,176.671,37.24,34.4496739833028,,176.671,28.780880773362,0.259686326094999,25.9686326094999,#N/A
176.935,9.809,9.12329834470495,,176.935,36.058,34.7287065849725,,176.935,27.2033945310333,0.262701932834225,26.2701932834225,#N/A
177.2,7.9,9.19186851023446,,177.2,36.421,34.8616359264753,,177.2,21.6907827901485,0.263667159212508,26.3667159212508,#N/A
177.464,6.172,9.06268165921101,,177.464,35.512,35.0175723338277,,177.464,17.3800405496733,0.258803824914392,25.8803824914392,#N/A
177.729,5.445,8.77361349328991,,177.729,36.33,35.067015100445,,177.729,14.9876135425268,0.250195617395978,25.0195617395978,#N/A
177.993,5.718,8.44075214396092,,177.993,36.876,35.1933135904005,,177.993,15.506020175724,0.239839653696697,23.9839653696697,#N/A
178.258,5.809,8.16847692956483,,178.258,36.876,35.3615822313604,,178.258,15.7527931445927,0.230998626592014,23.0998626592014,#N/A
178.523,6.627,7.93252923660834,,178.523,37.694,35.5130240082244,,178.523,17.5810473815461,0.223369579418843,22.3369579418843,#N/A
178.787,5.99,7.80197631294751,,178.787,36.057,35.731121607402,,178.787,16.6125856283107,0.218352404345776,21.8352404345776,#N/A
179.052,7.445,7.62077868165276,,179.052,35.148,35.7637094466618,,179.052,21.1818595652669,0.213086919661352,21.3086919661352,#N/A
179.316,8.627,7.60320081348748,,179.316,36.148,35.7021385019956,,179.316,23.8657740400575,0.212962055846108,21.2962055846108,#N/A
179.581,8.899,7.70558073213874,,179.581,36.784,35.746724651796,,179.581,24.1925837320574,0.215560469027519,21.5560469027519,#N/A
179.845,8.899,7.82492265892486,,179.845,37.693,35.8504521866164,,179.845,23.6091581991351,0.218265661425772,21.8265661425772,#N/A
180.11,11.99,7.93233039303238,,180.11,37.693,36.0347069679548,,180.11,31.8096198233094,0.220130287172489,22.0130287172489,#N/A
180.374,13.899,8.33809735372914,,180.374,36.693,36.2005362711593,,180.374,37.8791595127136,0.230330768894494,23.0330768894494,#N/A
180.639,14.444,8.89418761835622,,180.639,33.693,36.2497826440434,,180.639,42.8694387558247,0.245358370991991,24.5358370991991,#N/A
180.903,13.081,9.4491688565206,,180.903,31.511,35.994104379639,,180.903,41.512487702707,0.262519904839354,26.2519904839354,#N/A
181.168,13.899,9.81235197086854,,181.168,31.874,35.5457939416751,,181.168,43.6060739160444,0.276048186937926,27.6048186937926,#N/A
181.432,13.626,10.2210167737817,,181.432,33.056,35.1786145475076,,181.432,41.2209583736689,0.290546313584309,29.0546313584309,#N/A
181.697,15.626,10.5615150964035,,181.697,34.329,34.9663530927569,,181.697,45.5183663957587,0.302047945016928,30.2047945016928,#N/A
181.961,16.99,11.0679635867632,,181.961,33.965,34.9026177834812,,181.961,50.0220815545414,0.317109841314007,31.7109841314007,#N/A
182.226,17.353,11.6601672280869,,182.226,35.237,34.8088560051331,,182.226,49.2465306354116,0.334977030740895,33.4977030740895,#N/A
182.491,16.808,12.2294505052782,,182.491,35.146,34.8516704046198,,182.491,47.8233653900871,0.350899981644986,35.0899981644986,#N/A
182.755,16.717,12.6873054547504,,182.755,34.237,34.8811033641578,,182.755,48.8272921108742,0.363730049542734,36.3730049542734,24.8348279243981
183.02,14.808,13.0902749092753,,183.02,33.783,34.816693027742,,183.02,43.8326969185685,0.375976974574953,37.5976974574953,25.4234224118267
183.284,12.08,13.2620474183478,,183.284,36.146,34.7133237249678,,183.284,33.4200188125934,0.382044874856191,38.2044874856191,25.9949853870285
183.549,13.444,13.143842676513,,183.549,39.419,34.856591352471,,183.549,34.1053806539993,0.377083419993711,37.7083419993711,26.5446975836694
183.813,13.717,13.1738584088617,,183.813,42.419,35.3128322172239,,183.813,32.3369244913836,0.373061507154788,37.3061507154788,27.0519533209359
184.078,14.898,13.2281725679755,,184.078,41.418,36.0234489955015,,184.078,35.969868173258,0.367210051697921,36.7210051697921,27.519278959934
184.342,15.171,13.395155311178,,184.342,38.873,36.5629040959514,,184.342,39.0270882103259,0.366359173112325,36.6359173112325,27.9483217185154
184.607,12.898,13.5727397800602,,184.607,38.327,36.7939136863562,,184.607,33.6525165027265,0.368885460126879,36.8885460126879,28.3356523441232
184.871,12.716,13.5052658020542,,184.871,37.691,36.9472223177206,,184.871,33.7374970152026,0.365528582525587,36.5528582525587,28.6891045845399
185.136,11.171,13.4263392218487,,185.136,36.782,37.0216000859486,,185.136,30.3708335598934,0.362662315801544,36.2662315801544,28.9973910609377
185.4,9.989,13.2008052996639,,185.4,38.509,36.9976400773537,,185.4,25.939390791763,0.356801279002228,35.6801279002228,29.2508294759017
