wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
173.232,22.939,#N/A,,173.232,26.786,#N/A,,173.232,85.6380198611215,#N/A,#N/A,#N/A
173.496,23.486,22.939,,173.496,28.501,26.786,,173.496,82.4041261710115,0.856380198611215,85.6380198611215,#N/A
173.761,24.897,22.9937,,173.761,31.911,26.9575,,173.761,78.0201184544514,0.852961142539182,85.2961142539182,#N/A
174.025,27.439,23.18403,,174.025,31.675,27.45285,,174.025,86.6266771902131,0.84450357613144,84.450357613144,#N/A
174.29,27.772,23.609527,,174.29,32.086,27.875065,,174.29,86.5548837499221,0.846976572072567,84.6976572072567,#N/A
174.555,28.954,24.0257743,,174.555,34.241,28.2961585,,174.555,84.559446277854,0.849082545957607,84.9082545957608,#N/A
174.819,32.772,24.51859687,,174.819,36.968,28.89064265,,174.819,88.6496429344298,0.848669140629172,84.8669140629172,#N/A
175.084,31.863,25.343937183,,175.084,38.604,29.698378385,,175.084,82.5380789555486,0.853377812567728,85.3377812567728,#N/A
175.348,32.226,25.9958434647,,175.348,38.968,30.5889405465,,175.348,82.6986245124204,0.849844518975158,84.9844518975158,#N/A
175.613,31.044,26.61885911823,,175.613,39.24,31.42684649185,,175.613,79.1131498470948,0.847010186820149,84.7010186820149,#N/A
175.877,31.317,27.061373206407,,175.877,40.604,32.208161842665,,175.877,77.1278691754507,0.840202348044581,84.0202348044581,#N/A
176.142,30.953,27.4869358857663,,176.142,41.24,33.0477456583985,,176.142,75.0557710960233,0.831734066519632,83.1734066519632,#N/A
176.406,30.68,27.8335422971897,,176.406,39.694,33.8669710925587,,176.406,77.2912782788331,0.821849176329363,82.1849176329363,#N/A
176.671,30.953,28.1181880674707,,176.671,37.24,34.4496739833028,,176.671,83.1176154672395,0.816210570848919,81.6210570848919,#N/A
176.935,29.498,28.4016692607236,,176.935,36.058,34.7287065849725,,176.935,81.8070885795108,0.817815347981124,81.7815347981124,#N/A
177.2,28.68,28.5113023346513,,177.2,36.421,34.8616359264753,,177.2,78.7457785343621,0.817841778704329,81.7841778704329,#N/A
177.464,27.407,28.5281721011861,,177.464,35.512,35.0175723338277,,177.464,77.1767289930164,0.814681606972146,81.4681606972146,#N/A
177.729,25.043,28.4160548910675,,177.729,36.33,35.067015100445,,177.729,68.9320121112029,0.810335718899182,81.0335718899182,#N/A
177.993,26.407,28.0787494019608,,177.993,36.876,35.1933135904005,,177.993,71.6102614166396,0.797843298552589,79.7843298552589,#N/A
178.258,28.316,27.9115744617647,,178.258,36.876,35.3615822313604,,178.258,76.7870701811476,0.789319162223779,78.931916222378,#N/A
178.523,31.043,27.9520170155882,,178.523,37.694,35.5130240082244,,178.523,82.3552820077466,0.787091997829159,78.7091997829159,#N/A
178.787,31.497,28.2611153140294,,178.787,36.057,35.731121607402,,178.787,87.3533571844579,0.79093837648172,79.093837648172,#N/A
179.052,32.406,28.5847037826265,,179.052,35.148,35.7637094466618,,179.052,92.1987026288836,0.799265630576098,79.9265630576098,#N/A
179.316,33.679,28.9668334043638,,179.316,36.148,35.7021385019956,,179.316,93.1697465973221,0.811347292340617,81.1347292340617,#N/A
179.581,32.679,29.4380500639274,,179.581,36.784,35.746724651796,,179.581,88.8402566333188,0.82351740895647,82.351740895647,#N/A
179.845,32.315,29.7621450575347,,179.845,37.693,35.8504521866164,,179.845,85.7320987981854,0.830174886012886,83.0174886012886,#N/A
180.11,33.86,30.0174305517812,,180.11,37.693,36.0347069679548,,180.11,89.8310031040246,0.833014420749289,83.3014420749289,#N/A
180.374,34.497,30.4016874966031,,180.374,36.693,36.2005362711593,,180.374,94.0152072602404,0.839813180359538,83.9813180359538,#N/A
180.639,34.678,30.8112187469428,,180.639,33.693,36.2497826440434,,180.639,102.923455910723,0.849969751529138,84.9969751529138,#N/A
180.903,35.315,31.1978968722485,,180.903,31.511,35.994104379639,,180.903,112.07197486592,0.866750191731299,86.6750191731299,#N/A
181.168,34.951,31.6096071850237,,181.168,31.874,35.5457939416751,,181.168,109.653636192508,0.889264345505684,88.9264345505685,#N/A
181.432,33.86,31.9437464665213,,181.432,33.056,35.1786145475076,,181.432,102.432236205228,0.908044471830528,90.8044471830528,#N/A
181.697,34.223,32.1353718198692,,181.697,34.329,34.9663530927569,,181.697,99.6912231640887,0.919036987775711,91.9036987775711,#N/A
181.961,34.769,32.3441346378823,,181.961,33.965,34.9026177834812,,181.961,102.367142646842,0.926696525702728,92.6696525702728,#N/A
182.226,34.678,32.586621174094,,182.226,35.237,34.8088560051331,,182.226,98.4135993416011,0.936158923731612,93.6158923731612,#N/A
182.491,34.496,32.7957590566846,,182.491,35.146,34.8516704046198,,182.491,98.150571900074,0.941009675459842,94.1009675459842,#N/A
182.755,34.041,32.9657831510162,,182.755,34.237,34.8811033641578,,182.755,99.4275199345737,0.945090033616605,94.5090033616605,85.0101338571653
183.02,32.859,33.0733048359146,,183.02,33.783,34.816693027742,,183.02,97.2648965455999,0.949926657582375,94.9926657582375,85.2689387045658
183.284,33.313,33.0518743523231,,183.284,36.146,34.7133237249678,,183.284,92.1623416145632,0.952137992149404,95.2137992149404,85.5284319830761
183.549,34.495,33.0779869170908,,183.549,39.419,34.856591352471,,183.549,87.5085618610315,0.94897365558798,94.897365558798,85.7884917328366
183.813,33.677,33.2196882253817,,183.813,42.419,35.3128322172239,,183.813,79.3913104976544,0.940725683542843,94.0725683542843,85.9951440688888
184.078,32.859,33.2654194028435,,184.078,41.418,36.0234489955015,,184.078,79.3350717079531,0.923437936411852,92.3437936411852,86.1562772394692
184.342,33.04,33.2247774625592,,184.342,38.873,36.5629040959514,,184.342,84.9947264167932,0.908701819072358,90.8701819072358,86.3017508150353
184.607,30.767,33.2062997163033,,184.607,38.327,36.7939136863562,,184.607,80.2750019568451,0.902494363588636,90.2494363588636,86.406533587403
184.871,30.494,32.9623697446729,,184.871,37.691,36.9472223177206,,184.871,80.9052558966332,0.89214743834379,89.214743834379,86.4980016544426
185.136,30.04,32.7155327702057,,185.136,36.782,37.0216000859486,,185.136,81.6703822521886,0.883687703779792,88.3687703779792,86.5791318443564
185.4,29.494,32.4479794931851,,185.4,38.509,36.9976400773537,,185.4,76.5898880781116,0.877028357088282,87.7028357088282,86.647526856263
185.665,30.403,32.1525815438666,,185.665,40.6,37.1487760696183,,185.665,74.884236453202,0.865508502450022,86.5508502450022,86.7046655766993
185.929,32.221,31.9776233894799,,185.929,39.963,37.4938984626565,,185.929,80.6270800490453,0.852875393081071,85.2875393081071,86.7751827337236
186.194,32.221,32.0019610505319,,186.194,37.236,37.7408086163909,,186.194,86.5318508969814,0.847940524428336,84.7940524428336,86.8655795018778
186.459,33.221,32.0238649454787,,186.459,36.872,37.6903277547518,,186.459,90.0981774788457,0.849657375065977,84.9657375065977,86.9652388462498
186.723,34.585,32.1435784509309,,186.723,36.599,37.6084949792766,,186.723,94.4971174075794,0.854689305398765,85.4689305398765,87.0886362077141
186.988,34.675,32.3877206058378,,186.988,37.326,37.5075454813489,,186.988,92.8977120505814,0.863498802446109,86.3498802446109,87.2381942879945
187.252,34.312,32.616448545254,,187.252,37.963,37.489390933214,,187.252,90.3827410900087,0.87001809667591,87.001809667591,87.4087394267178
187.517,33.948,32.7860036907286,,187.517,38.69,37.5367518398926,,187.517,87.7436029981908,0.873437420226778,87.3437420226778,87.6141583599155
187.781,33.13,32.9022033216557,,187.781,40.326,37.6520766559034,,187.781,82.155433219263,0.873848303835775,87.3848303835775,87.8275850210789
