wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
173.232,39.353,#N/A,,173.232,26.786,#N/A,,173.232,146.916299559471,#N/A,#N/A,#N/A
173.496,39.972,39.353,,173.496,28.501,26.786,,173.496,140.247710606645,1.46916299559471,146.916299559471,#N/A
173.761,42.937,39.4149,,173.761,31.911,26.9575,,173.761,134.552348719877,1.46211258462395,146.211258462395,#N/A
174.025,44.575,39.76711,,174.025,31.675,27.45285,,174.025,140.726124704025,1.44856034983617,144.856034983617,#N/A
174.29,46.086,40.247899,,174.29,32.086,27.875065,,174.29,143.632737019261,1.4438674492777,144.38674492777,#N/A
174.555,48.505,40.8317091,,174.555,34.241,28.2961585,,174.555,141.657661867352,1.44301245343957,144.301245343957,#N/A
174.819,51.868,41.59903819,,174.819,36.968,28.89064265,,174.819,140.305128760009,1.43987929565838,143.987929565838,#N/A
175.084,53.232,42.625934371,,175.084,38.604,29.698378385,,175.084,137.892446378614,1.43529501235426,143.529501235426,#N/A
175.348,53.595,43.6865409339,,175.348,38.968,30.5889405465,,175.348,137.535926914391,1.42818090961632,142.818090961632,#N/A
175.613,56.049,44.67738684051,,175.613,39.24,31.42684649185,,175.613,142.836391437309,1.42163124295962,142.163124295962,#N/A
175.877,56.14,45.814548156459,,175.877,40.604,32.208161842665,,175.877,138.262240173382,1.42245150096613,142.245150096613,#N/A
176.142,57.14,46.8470933408131,,176.142,41.24,33.0477456583985,,176.142,138.554801163919,1.41755791227193,141.755791227193,#N/A
176.406,56.867,47.8763840067318,,176.406,39.694,33.8669710925587,,176.406,143.26346551116,1.41366004877984,141.366004877984,#N/A
176.671,55.503,48.7754456060586,,176.671,37.24,34.4496739833028,,176.671,149.041353383459,1.41584636271737,141.584636271737,#N/A
176.935,55.412,49.4482010454527,,176.935,36.058,34.7287065849725,,176.935,153.674635309779,1.42384228806406,142.384228806406,#N/A
177.2,54.957,50.0445809409075,,177.2,36.421,34.8616359264753,,177.2,150.893715164328,1.4355201530546,143.55201530546,#N/A
177.464,54.23,50.5358228468167,,177.464,35.512,35.0175723338277,,177.464,152.708943455733,1.44315609217713,144.315609217713,#N/A
177.729,54.412,50.9052405621351,,177.729,36.33,35.067015100445,,177.729,149.771538673273,1.4516559341114,145.16559341114,#N/A
177.993,56.866,51.2559165059216,,177.993,36.876,35.1933135904005,,177.993,154.2086994251,1.45641064386453,145.641064386453,#N/A
178.258,56.957,51.8169248553294,,178.258,36.876,35.3615822313604,,178.258,154.455472393969,1.46534520192865,146.534520192865,#N/A
178.523,56.32,52.3309323697965,,178.523,37.694,35.5130240082244,,178.523,149.413699793071,1.47357015718169,147.357015718169,#N/A
178.787,56.775,52.7298391328168,,178.787,36.057,35.731121607402,,178.787,157.459023213246,1.47573982457616,147.573982457616,#N/A
179.052,55.956,53.1343552195351,,179.052,35.148,35.7637094466618,,179.052,159.201092523045,1.4857059304427,148.57059304427,#N/A
179.316,56.956,53.4165196975816,,179.316,36.148,35.7021385019956,,179.316,157.56335066947,1.49617143226857,149.617143226857,#N/A
179.581,57.32,53.7704677278235,,179.581,36.784,35.746724651796,,179.581,155.828621139626,1.50420683997189,150.420683997189,#N/A
179.845,57.229,54.1254209550411,,179.845,37.693,35.8504521866164,,179.845,151.829252115777,1.50975560010501,150.975560010501,#N/A
180.11,56.956,54.435778859537,,180.11,37.693,36.0347069679548,,180.11,151.104979704454,1.51064857854807,151.064857854807,#N/A
180.374,55.774,54.6878009735833,,180.374,36.693,36.2005362711593,,180.374,152.001744201891,1.51069035452805,151.069035452805,#N/A
180.639,54.864,54.796420876225,,180.639,33.693,36.2497826440434,,180.639,162.835010239516,1.51163446728223,151.163446728223,#N/A
180.903,54.137,54.8031787886025,,180.903,31.511,35.994104379639,,180.903,171.803497191457,1.52255986732103,152.255986732103,#N/A
181.168,53.319,54.7365609097423,,181.168,31.874,35.5457939416751,,181.168,167.280542134655,1.53988854488821,153.988854488821,#N/A
181.432,52.682,54.594804818768,,181.432,33.056,35.1786145475076,,181.432,159.371974830591,1.55193163576807,155.193163576807,#N/A
181.697,53.046,54.4035243368912,,181.697,34.329,34.9663530927569,,181.697,154.522415450494,1.55588214168554,155.588214168554,#N/A
181.961,53.136,54.2677719032021,,181.961,33.965,34.9026177834812,,181.961,156.443397615192,1.5548338591636,155.48338591636,#N/A
