wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
173.232,8.9,#N/A,,173.232,26.786,#N/A,,173.232,33.2263122526693,#N/A,#N/A,#N/A
173.496,11.043,8.9,,173.496,28.501,26.786,,173.496,38.746008911968,0.332263122526693,33.2263122526693,#N/A
173.761,11.4,9.1143,,173.761,31.911,26.9575,,173.761,35.7243583717214,0.338098859315589,33.8098859315589,#N/A
174.025,13.345,9.34287,,174.025,31.675,27.45285,,174.025,42.1310181531176,0.340324228632,34.0324228632,#N/A
174.29,11.7,9.743083,,174.29,32.086,27.875065,,174.29,36.4645016518108,0.349526826215472,34.9526826215472,#N/A
174.555,12.446,9.9387747,,174.555,34.241,28.2961585,,174.555,36.3482374930639,0.35124113048773,35.124113048773,#N/A
174.819,12.991,10.18949723,,174.819,36.968,28.89064265,,174.819,35.14120320277,0.352691954742654,35.2691954742654,#N/A
175.084,12.446,10.469647507,,175.084,38.604,29.698378385,,175.084,32.2401823645218,0.352532632296448,35.2532632296449,#N/A
175.348,12.9,10.6672827563,,175.348,38.968,30.5889405465,,175.348,33.1040854034079,0.348730049675439,34.8730049675439,#N/A
175.613,14.536,10.89055448067,,175.613,39.24,31.42684649185,,175.613,37.0438328236493,0.346536662006297,34.6536662006297,#N/A
175.877,15.264,11.255099032603,,175.877,40.604,32.208161842665,,175.877,37.5923554329623,0.349448661105949,34.9448661105949,#N/A
176.142,15.445,11.6559891293427,,176.142,41.24,33.0477456583985,,176.142,37.4515033947624,0.352701489833106,35.2701489833106,#N/A
176.406,14.536,12.0348902164084,,176.406,39.694,33.8669710925587,,176.406,36.6201441023832,0.355357737292685,35.5357737292685,#N/A
176.671,14.354,12.2850011947676,,176.671,37.24,34.4496739833028,,176.671,38.5445757250268,0.356607183009103,35.6607183009103,#N/A
176.935,13.809,12.4919010752908,,176.935,36.058,34.7287065849725,,176.935,38.2966332020633,0.359699577199233,35.9699577199233,#N/A
177.2,17.263,12.6236109677617,,177.2,36.421,34.8616359264753,,177.2,47.398478899536,0.362106098359397,36.2106098359397,#N/A
177.464,17.991,13.0875498709856,,177.464,35.512,35.0175723338277,,177.464,50.6617481414733,0.373742352731366,37.3742352731366,#N/A
177.729,18.354,13.577894883887,,177.729,36.33,35.067015100445,,177.729,50.5202312138728,0.387198478256415,38.7198478256415,#N/A
177.993,16.627,14.0555053954983,,177.993,36.876,35.1933135904005,,177.993,45.0889467404274,0.399379994708204,39.9379994708204,#N/A
178.258,15.718,14.3126548559485,,178.258,36.876,35.3615822313604,,178.258,42.6239288426077,0.404751539744602,40.4751539744602,#N/A
178.523,15.809,14.4531893703536,,178.523,37.694,35.5130240082244,,178.523,41.9403618613042,0.406982783752982,40.6982783752982,#N/A
178.787,16.172,14.5887704333183,,178.787,36.057,35.731121607402,,178.787,44.8512078098566,0.408293100720804,40.8293100720804,#N/A
179.052,17.445,14.7470933899864,,179.052,35.148,35.7637094466618,,179.052,49.6329805394333,0.412347981184121,41.2347981184121,#N/A
179.316,16.717,15.0168840509878,,179.316,36.148,35.7021385019956,,179.316,46.2459887130685,0.420615814096078,42.0615814096078,#N/A
179.581,14.445,15.186895645889,,179.581,36.784,35.746724651796,,179.581,39.2697912135711,0.424847193521155,42.4847193521155,#N/A
179.845,13.808,15.1127060813001,,179.845,37.693,35.8504521866164,,179.845,36.6327965404717,0.421548548471083,42.1548548471083,#N/A
180.11,12.535,14.9822354731701,,180.11,37.693,36.0347069679548,,180.11,33.2555116334598,0.415772368746987,41.5772368746987,#N/A
180.374,11.354,14.7375119258531,,180.374,36.693,36.2005362711593,,180.374,30.9432316790669,0.407107558171572,40.7107558171572,#N/A
180.639,11.899,14.3991607332678,,180.639,33.693,36.2497826440434,,180.639,35.3159409966462,0.397220608869882,39.7220608869882,#N/A
180.903,12.535,14.149144659941,,180.903,31.511,35.994104379639,,180.903,39.7797594490813,0.393096172381631,39.3096172381631,#N/A
181.168,13.263,13.9877301939469,,181.168,31.874,35.5457939416751,,181.168,41.6107171989709,0.393512948870927,39.3512948870927,#N/A
181.432,14.353,13.9152571745522,,181.432,33.056,35.1786145475076,,181.432,43.4202565343659,0.395560125193677,39.5560125193677,#N/A
181.697,15.172,13.959031457097,,181.697,34.329,34.9663530927569,,181.697,44.1958693815724,0.399213249951095,39.9213249951095,#N/A
181.961,14.808,14.0803283113873,,181.961,33.965,34.9026177834812,,181.961,43.5978212866186,0.403417543025993,40.3417543025993,#N/A
182.226,16.081,14.1530954802486,,182.226,35.237,34.8088560051331,,182.226,45.6366887078923,0.406594674589751,40.6594674589751,#N/A
182.491,18.353,14.3458859322237,,182.491,35.146,34.8516704046198,,182.491,52.2193137199112,0.411626925357417,41.1626925357417,#N/A
182.755,19.171,14.7465973390013,,182.755,34.237,34.8811033641578,,182.755,55.9949761953442,0.422767513545866,42.2767513545866,38.3505973526148
183.02,18.899,15.1890376051012,,183.02,33.783,34.816693027742,,183.02,55.9423378622384,0.436257331878089,43.6257331878089,38.664058776024
183.284,18.444,15.5600338445911,,183.284,36.146,34.7133237249678,,183.284,51.0263929618768,0.448243849188069,44.8243849188069,38.9791301853805
183.549,18.717,15.848430460132,,183.549,39.419,34.856591352471,,183.549,47.482178644816,0.454675280777518,45.4675280777518,39.2942652280948
183.813,19.898,16.1352874141188,,183.813,42.419,35.3128322172239,,183.813,46.9082250878144,0.456924194436286,45.6924194436286,39.5883977314452
184.078,20.08,16.5115586727069,,184.078,41.418,36.0234489955015,,184.078,48.4813366169298,0.458355852455127,45.8355852455127,39.8859971800849
184.342,20.626,16.8684028054362,,184.342,38.873,36.5629040959514,,184.342,53.0599644997813,0.461352926484416,46.1352926484416,40.1994483446117
184.607,19.535,17.2441625248926,,184.607,38.327,36.7939136863562,,184.607,50.9692905784434,0.468668885617542,46.8668885617542,40.5248317438747
184.871,18.353,17.4732462724033,,184.871,37.691,36.9472223177206,,184.871,48.6933220132127,0.472924490023782,47.2924490023782,40.8643469952582
185.136,17.625,17.561221645163,,185.136,36.782,37.0216000859486,,185.136,47.9174596269915,0.474350692687329,47.4350692687329,41.2110864802198
185.4,16.444,17.5675994806467,,185.4,38.509,36.9976400773537,,185.4,42.7017060946792,0.474830271442093,47.4830271442093,41.5365600435978
185.665,14.443,17.455239532582,,185.665,40.6,37.1487760696183,,185.665,35.5738916256158,0.469873879555822,46.9873879555822,41.8198394132963
185.929,14.08,17.1540155793238,,185.929,39.963,37.4938984626565,,185.929,35.2325901458849,0.457514856621512,45.7514856621512,42.0658363531354
186.194,14.807,16.8466140213914,,186.194,37.236,37.7408086163909,,186.194,39.7652809109464,0.446376605033178,44.6376605033178,42.2954465563782
186.459,14.261,16.6426526192523,,186.459,36.872,37.6903277547518,,186.459,38.6770449121284,0.441562958208929,44.1562958208929,42.5021801547865
186.723,12.625,16.4044873573271,,186.723,36.599,37.6084949792766,,186.723,34.4954780185251,0.436191008610327,43.6191008610327,42.6783485033674
186.988,13.534,16.0265386215944,,186.988,37.326,37.5075454813489,,186.988,36.2589079997857,0.427288387334323,42.7288387334323,42.8056574274953
187.252,12.625,15.7772847594349,,187.252,37.963,37.489390933214,,187.252,33.256065116034,0.420846654658689,42.0846654658689,42.8724664085257
187.517,13.898,15.4620562834914,,187.517,38.69,37.5367518398926,,187.517,35.921426725252,0.411917801237638,41.1917801237638,42.8917155158268
187.781,14.716,15.3056506551423,,187.781,40.326,37.6520766559034,,187.781,36.4925854287556,0.406502164409637,40.6502164409637,42.8844969555039
188.046,15.807,15.2466855896281,,188.046,41.599,37.919468990313,,188.046,37.9985095795572,0.402080672425107,40.2080672425107,42.8647597140628
188.31,17.625,15.3027170306653,,188.31,40.417,38.2874220912817,,188.31,43.6078877699978,0.399680004419775,39.9680004419775,42.8518083393337
188.575,19.716,15.5349453275987,,188.575,41.235,38.5003798821536,,188.575,47.8137504547108,0.403501092071037,40.3501092071037,42.8493502435161
188.839,20.443,15.9530507948389,,188.839,42.598,38.7738418939382,,188.839,47.9905159866661,0.411438485731612,41.1438485731612,42.8446776621531
189.104,20.261,16.402045715355,,189.104,41.78,39.1562577045444,,189.104,48.4944949736716,0.418886958991778,41.8886958991778,42.8474919434703
189.368,21.079,16.7879411438195,,189.368,40.78,39.4186319340899,,189.368,51.6895537027955,0.425888477608503,42.5888477608503,42.8845798747571
189.633,22.897,17.2170470294375,,189.633,39.143,39.5547687406809,,189.633,58.4957719132412,0.435271083047195,43.5271083047195,42.9773555210488
189.897,21.352,17.7850423264938,,189.897,38.507,39.5135918666128,,189.897,55.4496585036487,0.450099357874912,45.0099357874912,43.1211164896815
190.162,20.533,18.1417380938444,,190.162,37.416,39.4129326799516,,190.162,54.877592473808,0.460299116565682,46.0299116565682,43.314415618044
190.427,18.806,18.38086428446,,190.427,35.961,39.2132394119564,,190.427,52.2955423931481,0.468741286364,46.8741286364,43.5324114824732
190.691,17.079,18.423377856014,,190.691,35.688,38.8880154707608,,190.691,47.8564223268326,0.47375464222046,47.375464222046,43.7504837434536
190.956,15.533,18.2889400704126,,190.956,35.506,38.5680139236847,,190.956,43.7475356277812,0.474199685433667,47.4199685433667,43.9538124862414
191.22,14.897,18.0133460633713,,191.22,34.688,38.2618125313162,,191.22,42.9456872693727,0.470791760025166,47.0791760025166,44.1370443080333
191.485,12.715,17.7017114570342,,191.485,32.415,37.9044312781846,,191.485,39.2256671294154,0.467009024014091,46.7009024014091,44.2913818501258
191.749,11.715,17.2030403113308,,191.749,31.688,37.3554881503661,,191.749,36.9698308507953,0.460522433600219,46.0522433600219,44.4159889263764
