wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
173.232,1.319,#N/A,,173.232,19.372,#N/A,,173.232,6.80879620070204,#N/A,#N/A,#N/A
173.496,1.843,1.319,,173.496,21.729,19.372,,173.496,8.48175249666345,0.0680879620070204,6.80879620070204,#N/A
173.761,3.236,1.3714,,173.761,23.497,19.6077,,173.761,13.7719708899008,0.0699419105759472,6.99419105759472,#N/A
174.025,2.208,1.55786,,174.025,25.094,19.99663,,174.025,8.79891607555591,0.0779061271824303,7.79061271824303,#N/A
174.29,1.386,1.622874,,174.29,26.272,20.506367,,174.29,5.27557856272838,0.0791400056382489,7.91400056382489,#N/A
174.555,1.986,1.5991866,,174.555,28.781,21.0829303,,174.555,6.90038567110246,0.0758521978322909,7.58521978322909,#N/A
174.819,2.895,1.63786794,,174.819,32.872,21.85273727,,174.819,8.80688732051594,0.0749502416911637,7.49502416911637,#N/A
175.084,3.168,1.763581146,,175.084,33.69,22.954663543,,175.084,9.40338379341051,0.0768288824053708,7.68288824053708,#N/A
175.348,5.44,1.9040230314,,175.348,33.962,24.0281971887,,175.348,16.0179023614628,0.0792411938543365,7.92411938543365,#N/A
175.613,6.349,2.25762072826,,175.613,32.326,25.02157746983,,175.613,19.6405370290169,0.0902269543549821,9.02269543549821,#N/A
175.877,2.986,2.666758655434,,175.877,33.69,25.752019722847,,175.877,8.86316414366281,0.10355532048106,10.355532048106,#N/A
176.142,5.44,2.6986827898906,,176.142,34.144,26.5458177505623,,176.142,15.9325210871603,0.101661316869149,10.1661316869149,#N/A
176.406,5.168,2.97281451090154,,176.406,33.962,27.3056359755061,,176.406,15.2170072433897,0.10887182827634,10.887182827634,#N/A
176.671,4.168,3.19233305981139,,176.671,35.598,27.9712723779555,,176.671,11.7085229507276,0.114128989796235,11.4128989796235,#N/A
176.935,5.349,3.28989975383025,,176.935,35.507,28.7339451401599,,176.935,15.0646351423663,0.114495233347965,11.4495233347965,#N/A
