wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
173.232,8.053,#N/A,,173.232,19.372,#N/A,,173.232,41.570307660541,#N/A,#N/A,#N/A
173.496,9.029,8.053,,173.496,21.729,19.372,,173.496,41.5527635878319,0.41570307660541,41.570307660541,#N/A
173.761,10.636,8.1506,,173.761,23.497,19.6077,,173.761,45.2653530237903,0.415683634490532,41.5683634490532,#N/A
174.025,13.33,8.39914,,174.025,25.094,19.99663,,174.025,53.120267793098,0.420027774680034,42.0027774680034,#N/A
174.29,12.886,8.892226,,174.29,26.272,20.506367,,174.29,49.0484165651644,0.433632442060556,43.3632442060556,#N/A
174.555,13.522,9.2916034,,174.555,28.781,21.0829303,,174.555,46.9823842118064,0.440716886494663,44.0716886494664,#N/A
174.819,15.431,9.71464306,,174.819,32.872,21.85273727,,174.819,46.9426867851059,0.444550398422467,44.4550398422467,#N/A
175.084,15.977,10.286278754,,175.084,33.69,22.954663543,,175.084,47.4235678242802,0.448112808742814,44.8112808742814,#N/A
175.348,15.249,10.8553508786,,175.348,33.962,24.0281971887,,175.348,44.9001825569754,0.451775503311795,45.1775503311795,#N/A
175.613,12.158,11.29471579074,,175.613,32.326,25.02157746983,,175.613,37.610592093052,0.451399029671839,45.1399029671839,#N/A
175.877,12.431,11.381044211666,,175.877,33.69,25.752019722847,,175.877,36.8981893737014,0.441947634948758,44.1947634948758,#N/A
176.142,13.067,11.4860397904994,,176.142,34.144,26.5458177505623,,176.142,38.27026710403,0.432687359584396,43.2687359584396,#N/A
176.406,12.886,11.6441358114495,,176.406,33.962,27.3056359755061,,176.406,37.942406218715,0.426437085072641,42.6437085072641,#N/A
176.671,11.34,11.7683222303045,,176.671,35.598,27.9712723779555,,176.671,31.855722231586,0.420728884667374,42.0728884667374,#N/A
176.935,8.976,11.7254900072741,,176.935,35.507,28.7339451401599,,176.935,25.2795223477061,0.408071009744011,40.8071009744011,#N/A
177.2,8.249,11.4505410065467,,177.2,32.78,29.4112506261439,,177.2,25.1647345942648,0.389325199125268,38.9325199125268,#N/A
177.464,7.794,11.130386905892,,177.464,28.962,29.7481255635295,,177.464,26.911124922312,0.374154226360318,37.4154226360318,#N/A
177.729,6.431,10.7967482153028,,177.729,27.507,29.6695130071766,,177.729,23.3795033991348,0.363900419015682,36.3900419015682,#N/A
177.993,5.976,10.3601733937725,,177.993,28.325,29.4532617064589,,177.993,21.0979699911739,0.351749612556513,35.1749612556513,#N/A
178.258,6.34,9.92175605439527,,178.258,29.689,29.340435535813,,178.258,21.354710498838,0.3381598082375,33.81598082375,#N/A
178.523,9.976,9.56358044895574,,178.523,31.053,29.3752919822317,,178.523,32.1257205422987,0.325565460072379,32.5565460072379,#N/A
178.787,9.521,9.60482240406017,,178.787,32.052,29.5430627840086,,178.787,29.7048546112567,0.325112615245132,32.5112615245132,#N/A
179.052,10.067,9.59644016365415,,179.052,32.598,29.7939565056077,,179.052,30.882262715504,0.322093514563866,32.2093514563866,#N/A
179.316,10.703,9.64349614728874,,179.316,32.961,30.0743608550469,,179.316,32.4717089894117,0.320655065414978,32.0655065414978,#N/A
179.581,11.976,9.74944653255986,,179.581,31.78,30.3630247695422,,179.581,37.6840780365009,0.321096024080569,32.1096024080569,#N/A
179.845,12.976,9.97210187930388,,179.845,33.143,30.504722292588,,179.845,39.1515553812268,0.326903545741404,32.6903545741404,#N/A
180.11,13.339,10.2724916913735,,180.11,36.961,30.7685500633292,,180.11,36.0893915207922,0.333863366009454,33.3863366009454,#N/A
180.374,13.976,10.5791425222361,,180.374,38.961,31.3877950569963,,180.374,35.8717692051025,0.337046374331989,33.7046374331989,#N/A
180.639,15.066,10.9188282700125,,180.639,39.87,32.1451155512967,,180.639,37.7878103837472,0.339673013543486,33.9673013543486,#N/A
180.903,14.339,11.3335454430113,,180.903,40.597,32.917603996167,,180.903,35.3203438677735,0.344300437064951,34.4300437064951,#N/A
181.168,13.339,11.6340908987101,,181.168,40.597,33.6855435965503,,181.168,32.8571076680543,0.345373405222458,34.5373405222458,#N/A
181.432,13.339,11.8045818088391,,181.432,41.325,34.3766892368953,,181.432,32.2782819116757,0.343389141621285,34.3389141621285,#N/A
181.697,14.975,11.9580236279552,,181.697,41.052,35.0715203132057,,181.697,36.4781253044919,0.340961085267027,34.0961085267027,#N/A
181.961,14.339,12.2597212651597,,181.961,39.688,35.6695682818852,,181.961,36.1293086071357,0.343702541288839,34.3702541288839,#N/A
182.226,14.793,12.4676491386437,,182.226,39.142,36.0714114536967,,182.226,37.793163353942,0.345637961925829,34.5637961925829,#N/A
182.491,16.339,12.7001842247794,,182.491,38.233,36.378470308327,,182.491,42.7353333507703,0.349112651442969,34.9112651442969,#N/A
182.755,16.611,13.0640658023014,,182.755,35.87,36.5639232774943,,182.755,46.3088932255367,0.357293874159904,35.7293874159904,37.7249600099015
183.02,16.157,13.4187592220713,,183.02,34.324,36.4945309497449,,183.02,47.0720195781377,0.367692332874471,36.7692332874471,37.6215471877043
183.284,14.52,13.6925832998642,,183.284,34.779,36.2774778547704,,183.284,41.7493314931424,0.377440332392446,37.7440332392446,37.5286079443642
183.549,13.793,13.7753249698777,,183.549,32.96,36.1276300692933,,183.549,41.8476941747573,0.381296114454683,38.1296114454683,37.4331766732352
183.813,15.52,13.77709247289,,183.813,32.688,35.810867062364,,183.813,47.4791972589329,0.384718204362307,38.4718204362307,37.3233928491115
184.078,17.066,13.951383225601,,184.078,32.506,35.4985803561276,,184.078,52.501076724297,0.393012427134786,39.3012427134786,37.2274073681292
184.342,16.156,14.2628449030409,,184.342,31.233,35.1993223205149,,184.342,51.727339672782,0.405202258531216,40.5202258531216,37.1482437662234
184.607,15.884,14.4521604127368,,184.607,30.505,34.8026900884634,,184.607,52.0701524340272,0.415259865717319,41.525986571732,37.0847429754175
