wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
173.232,15.925,#N/A,,173.232,19.372,#N/A,,173.232,82.2062771009705,#N/A,#N/A,#N/A
173.496,15.758,15.925,,173.496,21.729,19.372,,173.496,72.5205945970822,0.822062771009705,82.2062771009705,#N/A
173.761,17.008,15.9083,,173.761,23.497,19.6077,,173.761,72.3837085585394,0.811329222703326,81.1329222703326,#N/A
174.025,16.647,16.01827,,174.025,25.094,19.99663,,174.025,66.3385669881247,0.801048476668319,80.1048476668319,#N/A
174.29,16.658,16.081143,,174.29,26.272,20.506367,,174.29,63.4059074299635,0.784202438198829,78.4202438198829,#N/A
174.555,15.576,16.1388287,,174.555,28.781,21.0829303,,174.555,54.1190368645982,0.765492674422018,76.5492674422018,#N/A
174.819,16.576,16.08254583,,174.819,32.872,21.85273727,,174.819,50.4258943781942,0.73595109076237,73.595109076237,#N/A
175.084,13.939,16.131891247,,175.084,33.69,22.954663543,,175.084,41.3742950430395,0.702771844892469,70.2771844892469,#N/A
175.348,14.575,15.9126021223,,175.348,33.962,24.0281971887,,175.348,42.9156115658677,0.662247025747874,66.2247025747874,#N/A
175.613,15.848,15.77884191007,,175.613,32.326,25.02157746983,,175.613,49.025552187094,0.63060939819224,63.060939819224,#N/A
175.877,17.303,15.785757719063,,175.877,33.69,25.752019722847,,175.877,51.3594538438706,0.612991054253426,61.2991054253426,#N/A
176.142,18.302,15.9374819471567,,176.142,34.144,26.5458177505623,,176.142,53.6023898781631,0.600376379319454,60.0376379319454,#N/A
176.406,19.03,16.173933752441,,176.406,33.962,27.3056359755061,,176.406,56.0332135916613,0.592329501753759,59.2329501753759,#N/A
176.671,18.393,16.4595403771969,,176.671,35.598,27.9712723779555,,176.671,51.6686330692736,0.588444463833862,58.8444463833862,#N/A
176.935,18.211,16.6528863394772,,176.935,35.507,28.7339451401599,,176.935,51.288478328217,0.57955446974813,57.955446974813,#N/A
177.2,18.938,16.8086977055295,,177.2,32.78,29.4112506261439,,177.2,57.7730323367907,0.571505711171225,57.1505711171225,#N/A
177.464,20.938,17.0216279349766,,177.464,28.962,29.7481255635295,,177.464,72.2947310268628,0.572191612497584,57.2191612497584,#N/A
177.729,20.665,17.4132651414789,,177.729,27.507,29.6695130071766,,177.729,75.1263314792598,0.586907683225772,58.6907683225772,#N/A
177.993,22.211,17.738438627331,,177.993,28.325,29.4532617064589,,177.993,78.414827890556,0.602257189852799,60.2257189852799,#N/A
178.258,21.847,18.1856947645979,,178.258,29.689,29.340435535813,,178.258,73.5861766984405,0.619816796598005,61.9816796598005,#N/A
178.523,19.847,18.5518252881381,,178.523,31.053,29.3752919822317,,178.523,63.9133095031076,0.63154522172442,63.154522172442,#N/A
178.787,17.665,18.6813427593243,,178.787,32.052,29.5430627840086,,178.787,55.1135654561338,0.632342790451516,63.2342790451516,#N/A
179.052,15.937,18.5797084833919,,179.052,32.598,29.7939565056077,,179.052,48.8895024234616,0.623606619009962,62.3606619009962,#N/A
179.316,15.937,18.3154376350527,,179.316,32.961,30.0743608550469,,179.316,48.3510815812627,0.609005049960325,60.9005049960325,#N/A
179.581,15.846,18.0775938715474,,179.581,31.78,30.3630247695422,,179.581,49.8615481434865,0.595381850417005,59.5381850417005,#N/A
179.845,15.937,17.8544344843927,,179.845,33.143,30.504722292588,,179.845,48.0855685966871,0.585300672897157,58.5300672897157,#N/A
180.11,15.391,17.6626910359534,,180.11,36.961,30.7685500633292,,180.11,41.6411893617597,0.574050158346729,57.4050158346729,#N/A
180.374,14.937,17.4355219323581,,180.374,38.961,31.3877950569963,,180.374,38.3383383383383,0.555487312845561,55.5487312845561,#N/A
180.639,14.3,17.1856697391223,,180.639,39.87,32.1451155512967,,180.639,35.866566340607,0.534627716976087,53.4627716976087,#N/A
180.903,13.936,16.89710276521,,180.903,40.597,32.917603996167,,180.903,34.3276596792866,0.513315087184887,51.3315087184887,#N/A
181.168,13.573,16.600992488689,,181.168,40.597,33.6855435965503,,181.168,33.4335049387886,0.492822460801527,49.2822460801527,#N/A
181.432,14.663,16.2981932398201,,181.432,41.325,34.3766892368953,,181.432,35.4821536600121,0.474105959637552,47.4105959637552,#N/A
181.697,15.3,16.1346739158381,,181.697,41.052,35.0715203132057,,181.697,37.2698041508331,0.460050598655194,46.0050598655194,#N/A
181.961,15.572,16.0512065242543,,181.961,39.688,35.6695682818852,,181.961,39.2360411207418,0.449997218845116,44.9997218845116,#N/A
182.226,15.936,16.0032858718289,,182.226,39.142,36.0714114536967,,182.226,40.7133002912473,0.443655660449318,44.3655660449318,#N/A
182.491,17.481,15.996557284646,,182.491,38.233,36.378470308327,,182.491,45.7222817984464,0.43972594639265,43.972594639265,#N/A
182.755,18.663,16.1450015561814,,182.755,35.87,36.5639232774943,,182.755,52.0295511569557,0.441555503594411,44.1555503594411,59.8593524044537
183.02,19.481,16.3968014005633,,183.02,34.324,36.4945309497449,,183.02,56.7562055704463,0.449294756607301,44.9294756607302,58.8821142073537
183.284,21.481,16.7052212605069,,183.284,34.779,36.2774778547704,,183.284,61.7642830443659,0.460484638082695,46.0484638082695,57.9747752055446
183.549,23.481,17.1827991344562,,183.549,32.96,36.1276300692933,,183.549,71.2408980582524,0.475613792033946,47.5613792033946,57.1541258314139
183.813,23.39,17.8126192210106,,183.813,32.688,35.810867062364,,183.813,71.5553108174254,0.49740820823998,49.740820823998,56.433296398771
184.078,24.935,18.3703572989096,,184.078,32.506,35.4985803561276,,184.078,76.7089152771796,0.517495548120942,51.7495548120942,55.8253300094663
184.342,25.844,19.0268215690186,,184.342,31.233,35.1993223205149,,184.342,82.7458137226651,0.540545110379281,54.0545110379281,55.3667961537504
