material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
bottleglass-ordinary_brown,173.232,-8.043,#N/A,,173.232,20.986,#N/A,,173.232,-38.3255503669113,#N/A,#N/A,#N/A
bottleglass-ordinary_brown,173.496,-17.043,-8.043,,173.496,16.986,20.986,,173.496,-100.335570469799,-0.383255503669113,-38.3255503669113,#N/A
bottleglass-ordinary_brown,173.761,-22.043,-8.943,,173.761,-14.014,20.586,,173.761,157.292707292707,-0.434421451471874,-43.4421451471874,#N/A
bottleglass-ordinary_brown,174.025,-12.043,-10.253,,174.025,-14.014,17.126,,174.025,85.9354930783502,-0.598680369029546,-59.8680369029546,#N/A
bottleglass-ordinary_brown,174.29,-26.043,-10.432,,174.29,-21.014,14.012,,174.29,123.931664604549,-0.744504710248359,-74.4504710248359,#N/A
bottleglass-ordinary_brown,174.555,-19.043,-11.9931,,174.555,-21.014,10.5094,,174.555,90.6205386884934,-1.14117837364645,-114.117837364645,#N/A
bottleglass-ordinary_brown,174.819,-2.043,-12.69809,,174.819,15.986,7.35706,,174.819,-12.7799324408858,-1.72597341872976,-172.597341872976,#N/A
bottleglass-ordinary_brown,175.084,1.957,-11.632581,,175.084,10.986,8.219954,,175.084,17.8135809211724,-1.41516375882395,-141.516375882395,#N/A
bottleglass-ordinary_brown,175.348,-2.043,-10.2736229,,175.348,2.986,8.4965586,,175.348,-68.4192900200938,-1.20915106735096,-120.915106735096,#N/A
bottleglass-ordinary_brown,175.613,12.957,-9.45056061,,175.613,11.986,7.94550274,,175.613,108.101117970966,-1.18942261040615,-118.942261040615,#N/A
bottleglass-ordinary_brown,175.877,-5.043,-7.209804549,,175.877,13.986,8.349552466,,175.877,-36.0574860574861,-0.863495927279799,-86.3495927279799,#N/A
bottleglass-ordinary_brown,176.142,-12.043,-6.9931240941,,176.142,8.986,8.9131972194,,176.142,-134.019586022702,-0.784580877317415,-78.4580877317415,#N/A
bottleglass-ordinary_brown,176.406,0.957,-7.49811168469,,176.406,7.986,8.92047749746,,176.406,11.9834710743802,-0.840550484749835,-84.0550484749835,#N/A
bottleglass-ordinary_brown,176.671,-1.043,-6.652600516221,,176.671,-16.014,8.827029747714,,176.671,6.51305108030473,-0.753662410387126,-75.3662410387126,#N/A
bottleglass-ordinary_brown,176.935,-4.043,-6.0916404645989,,176.935,-4.014,6.3429267729426,,176.935,100.722471350274,-0.960383224126813,-96.0383224126813,#N/A
bottleglass-ordinary_brown,177.2,3.957,-5.88677641813901,,177.2,1.986,5.30723409564834,,177.2,199.244712990937,-1.10919856031334,-110.919856031334,#N/A
bottleglass-ordinary_brown,177.464,-12.043,-4.90239877632511,,177.464,2.986,4.97511068608351,,177.464,-403.315472203617,-0.985384865916292,-98.5384865916292,#N/A
bottleglass-ordinary_brown,177.729,-9.043,-5.6164588986926,,177.729,7.986,4.77619961747516,,177.729,-113.235662409216,-1.17592633233818,-117.592633233818,#N/A
bottleglass-ordinary_brown,177.993,14.957,-5.95911300882334,,177.993,7.986,5.09717965572764,,177.993,187.290257951415,-1.16910005362027,-116.910005362027,#N/A
bottleglass-ordinary_brown,178.258,-3.043,-3.86750170794101,,178.258,20.986,5.38606169015488,,178.258,-14.5001429524445,-0.718057447245799,-71.8057447245799,#N/A
bottleglass-ordinary_brown,178.523,4.957,-3.7850515371469,,178.523,-7.014,6.94605552113939,,178.523,-70.6729398346165,-0.544921002377192,-54.4921002377192,#N/A
bottleglass-ordinary_brown,178.787,-3.043,-2.91084638343221,,178.787,19.986,5.55004996902545,,178.787,-15.2256579605724,-0.524472103796813,-52.4472103796813,#N/A
