material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
makrolon-blue_541,173.232,15.358,#N/A,,173.232,26.024,#N/A,,173.232,59.014755610206,#N/A,#N/A,#N/A
makrolon-blue_541,173.496,15.858,15.358,,173.496,28.858,26.024,,173.496,54.9518331138679,0.59014755610206,59.014755610206,#N/A
makrolon-blue_541,173.761,12.358,15.408,,173.761,31.733,26.3074,,173.761,38.9436863832603,0.585690718200963,58.5690718200963,#N/A
makrolon-blue_541,174.025,13.635,15.103,,174.025,33.08,26.84996,,174.025,41.2182587666264,0.562496182489657,56.2496182489657,#N/A
makrolon-blue_541,174.29,13.257,14.9562,,174.29,33.457,27.472964,,174.29,39.6239949786293,0.544397029748956,54.4397029748956,#N/A
makrolon-blue_541,174.555,14.312,14.78628,,174.555,34.767,28.0713676,,174.555,41.1654730060114,0.526738854005816,52.6738854005816,#N/A
makrolon-blue_541,174.819,18.221,14.738852,,174.819,37.221,28.74093084,,174.819,48.9535477284329,0.51281748952568,51.281748952568,#N/A
makrolon-blue_541,175.084,21.312,15.0870668,,175.084,37.766,29.588937756,,175.084,56.4317110628608,0.509888760604144,50.9888760604144,#N/A
makrolon-blue_541,175.348,22.039,15.70956012,,175.348,37.13,30.4066439804,,175.348,59.3563156477242,0.516648931402174,51.6648931402174,#N/A
makrolon-blue_541,175.613,20.675,16.342504108,,175.613,39.312,31.07897958236,,175.613,52.5920838420838,0.525837859788543,52.5837859788543,#N/A
makrolon-blue_541,175.877,20.039,16.7757536972,,175.877,42.312,31.902281624124,,175.877,47.3600869729628,0.525848084938052,52.5848084938052,#N/A
makrolon-blue_541,176.142,19.584,17.10207832748,,176.142,41.584,32.9432534617116,,176.142,47.0950365525202,0.519137502534683,51.9137502534683,#N/A
makrolon-blue_541,176.406,19.13,17.350270494732,,176.406,41.493,33.8073281155404,,176.406,46.1041621478322,0.513210344083846,51.3210344083846,#N/A
