material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
makrolon-dark_green_636,173.232,10.996,#N/A,,173.232,26.024,#N/A,,173.232,42.253304641869,#N/A,#N/A,#N/A
makrolon-dark_green_636,173.496,10.543,10.996,,173.496,28.858,26.024,,173.496,36.5340633446531,0.42253304641869,42.253304641869,#N/A
makrolon-dark_green_636,173.761,10.204,10.9507,,173.761,31.733,26.3074,,173.761,32.1557999558819,0.416259303465945,41.6259303465945,#N/A
makrolon-dark_green_636,174.025,11.162,10.87603,,174.025,33.08,26.84996,,174.025,33.7424425634825,0.405066897678805,40.5066897678805,#N/A
makrolon-dark_green_636,174.29,11.929,10.904627,,174.29,33.457,27.472964,,174.29,35.6547209851451,0.396922115866348,39.6922115866348,#N/A
makrolon-dark_green_636,174.555,12.465,11.0070643,,174.555,34.767,28.0713676,,174.555,35.8529640176029,0.392110012481187,39.2110012481187,#N/A
makrolon-dark_green_636,174.819,11.192,11.15285787,,174.819,37.221,28.74093084,,174.819,30.0690470433358,0.388047900469462,38.8047900469462,#N/A
makrolon-dark_green_636,175.084,10.465,11.156772083,,175.084,37.766,29.588937756,,175.084,27.7101096224117,0.37705889190759,37.705889190759,#N/A
makrolon-dark_green_636,175.348,9.465,11.0875948747,,175.348,37.13,30.4066439804,,175.348,25.4915162941018,0.364643821983347,36.4643821983347,#N/A
makrolon-dark_green_636,175.613,10.829,10.92533538723,,175.613,39.312,31.07897958236,,175.613,27.5462962962963,0.351534559179384,35.1534559179384,#N/A
makrolon-dark_green_636,175.877,11.647,10.915701848507,,175.877,42.312,31.902281624124,,175.877,27.5264700321422,0.342160538143225,34.2160538143225,#N/A
makrolon-dark_green_636,176.142,10.919,10.9888316636563,,176.142,41.584,32.9432534617116,,176.142,26.2576952674105,0.333568500646972,33.3568500646972,#N/A
makrolon-dark_green_636,176.406,12.101,10.9818484972907,,176.406,41.493,33.8073281155404,,176.406,29.1639553659653,0.324836333109761,32.4836333109761,#N/A
makrolon-dark_green_636,176.671,12.465,11.0937636475616,,176.671,39.948,34.5758953039864,,176.671,31.2030639831781,0.320852534692936,32.0852534692936,#N/A
makrolon-dark_green_636,176.935,11.555,11.2308872828054,,176.935,39.857,35.1131057735878,,176.935,28.9911433374313,0.319848872247962,31.9848872247962,#N/A
makrolon-dark_green_636,177.2,10.737,11.2632985545249,,177.2,39.584,35.587495196229,,177.2,27.1245957962813,0.316495962764989,31.6495962764989,#N/A
makrolon-dark_green_636,177.464,10.646,11.2106686990724,,177.464,37.584,35.9871456766061,,177.464,28.325883354619,0.311518696142663,31.1518696142663,#N/A
makrolon-dark_green_636,177.729,10.828,11.1542018291652,,177.729,36.038,36.1468311089455,,177.729,30.0460624895943,0.308580350945474,30.8580350945474,#N/A
makrolon-dark_green_636,177.993,10.01,11.1215816462487,,177.993,36.856,36.1359479980509,,177.993,27.1597568916866,0.307770579226219,30.7770579226219,#N/A
makrolon-dark_green_636,178.258,9.555,11.0104234816238,,178.258,38.766,36.2079531982458,,178.258,24.6478873239437,0.304088536055587,30.4088536055587,#N/A
makrolon-dark_green_636,178.523,9.1,10.8648811334614,,178.523,38.402,36.4637578784213,,178.523,23.696682464455,0.297963834931317,29.7963834931317,#N/A
makrolon-dark_green_636,178.787,8.464,10.6883930201153,,178.787,37.584,36.6575820905791,,178.787,22.5202213707961,0.291573868502968,29.1573868502968,#N/A
makrolon-dark_green_636,179.052,11.191,10.4659537181037,,179.052,38.311,36.7502238815212,,179.052,29.2109315862285,0.284786121353841,28.4786121353841,#N/A
makrolon-dark_green_636,179.316,12.646,10.5384583462934,,179.316,36.856,36.9063014933691,,179.316,34.3119166485782,0.285546313769392,28.5546313769392,#N/A
makrolon-dark_green_636,179.581,13.827,10.749212511664,,179.581,37.856,36.9012713440322,,179.581,36.5252535925613,0.291296535868606,29.1296535868606,#N/A
makrolon-dark_green_636,179.845,14.645,11.0569912604976,,179.845,36.583,36.996744209629,,179.845,40.0322554191838,0.29886389996501,29.886389996501,#N/A
makrolon-dark_green_636,180.11,14.463,11.4157921344479,,180.11,36.492,36.9553697886661,,180.11,39.6333442946399,0.308907533593372,30.8907533593372,#N/A
makrolon-dark_green_636,180.374,12.918,11.7205129210031,,180.374,36.674,36.9090328097995,,180.374,35.2238643180455,0.317551342550793,31.7551342550793,#N/A
makrolon-dark_green_636,180.639,13.281,11.8402616289028,,180.639,37.128,36.8855295288195,,180.639,35.7708468002586,0.321000180291615,32.1000180291615,#N/A
makrolon-dark_green_636,180.903,13.918,11.9843354660125,,180.903,37.583,36.9097765759376,,180.903,37.0327009552191,0.324692712277901,32.4692712277901,#N/A
makrolon-dark_green_636,181.168,15.099,12.1777019194112,,181.168,35.674,36.9770989183438,,181.168,42.3249425351797,0.329330917666179,32.9330917666179,#N/A
makrolon-dark_green_636,181.432,14.827,12.4698317274701,,181.432,36.037,36.8467890265094,,181.432,41.1438244026972,0.338423837108267,33.8423837108267,#N/A
makrolon-dark_green_636,181.697,15.008,12.7055485547231,,181.697,35.855,36.7658101238585,,181.697,41.8574815228002,0.345580541049416,34.5580541049416,#N/A
makrolon-dark_green_636,181.961,13.826,12.9357936992508,,181.961,36.764,36.6747291114727,,181.961,37.6074420628876,0.352716816528693,35.2716816528693,#N/A
makrolon-dark_green_636,182.226,12.826,13.0248143293257,,182.226,37.219,36.6836562003254,,182.226,34.4608936295978,0.355057692673779,35.5057692673779,#N/A
makrolon-dark_green_636,182.491,11.372,13.0049328963931,,182.491,35.582,36.7371905802929,,182.491,31.9599797650497,0.353999113458868,35.3999113458868,#N/A
makrolon-dark_green_636,182.755,11.553,12.8416396067538,,182.755,36.401,36.6216715222636,,182.755,31.7381390621137,0.350656839869992,35.0656839869992,33.7816024498557
makrolon-dark_green_636,183.02,11.372,12.7127756460785,,183.02,38.037,36.5996043700372,,183.02,29.8972053526829,0.347347351560061,34.7347351560061,33.5648631419122
makrolon-dark_green_636,183.284,11.735,12.5786980814706,,183.284,40.4,36.7433439330335,,183.284,29.0470297029703,0.342339502479575,34.2339502479575,33.3498179513777
makrolon-dark_green_636,183.549,12.826,12.4943282733235,,183.549,40.946,37.1090095397301,,183.549,31.3241830703854,0.336692582968206,33.6692582968206,33.1581006954721
makrolon-dark_green_636,183.813,13.008,12.5274954459912,,183.813,41.491,37.4927085857571,,183.813,31.3513774071485,0.334131512993707,33.4131512993707,32.9822948225462
makrolon-dark_green_636,184.078,13.917,12.5755459013921,,184.078,43.218,37.8925377271814,,184.078,32.2018603359711,0.33187394288378,33.187394288378,32.8164987869152
makrolon-dark_green_636,184.342,13.462,12.7096913112529,,184.342,43.491,38.4250839544633,,184.342,30.9535306155297,0.330765479297712,33.0765479297712,32.655271578801
makrolon-dark_green_636,184.607,13.098,12.7849221801276,,184.607,42.764,38.931675559017,,184.607,30.6285660836217,0.328393833467218,32.8393833467218,32.5172450100783
makrolon-dark_green_636,184.871,13.28,12.8162299621148,,184.871,42.855,39.3149080031153,,184.871,30.9882160774705,0.325989061480171,32.5989061480171,32.4080698313223
makrolon-dark_green_636,185.136,11.371,12.8626069659033,,185.136,44.4,39.6689172028037,,185.136,25.6103603603604,0.324249005843654,32.4249005843654,32.3139538029611
makrolon-dark_green_636,185.4,11.916,12.713446269313,,185.4,44.676,40.1420254825234,,185.4,26.6720386784851,0.316711628685704,31.6711628685704,32.2303037045987
makrolon-dark_green_636,185.665,11.098,12.6337016423817,,185.665,45.858,40.595422934271,,185.665,24.2007937546339,0.311210001749144,31.1210001749144,32.1490178615321
makrolon-dark_green_636,185.929,11.552,12.4801314781435,,185.929,44.039,41.1216806408439,,185.929,26.2312949885329,0.30349273871233,30.349273871233,32.0794971835299
makrolon-dark_green_636,186.194,13.007,12.3873183303292,,186.194,45.403,41.4134125767595,,186.194,28.6478867035218,0.299113682248942,29.9113682248942,32.0170354668327
makrolon-dark_green_636,186.459,10.37,12.4492864972963,,186.459,45.403,41.8123713190836,,186.459,22.839900447107,0.297741699515002,29.7741699515002,31.9371089528299
makrolon-dark_green_636,186.723,8.734,12.2413578475666,,186.723,45.585,42.1714341871752,,186.723,19.15981134145,0.290276062066899,29.0276062066899,31.837647339424
makrolon-dark_green_636,186.988,8.916,11.89062206281,,186.988,47.13,42.5127907684577,,186.988,18.9178866963717,0.279695165804834,27.9695165804834,31.7248083613827
makrolon-dark_green_636,187.252,11.188,11.593159856529,,187.252,48.13,42.9745116916119,,187.252,23.2453771036775,0.269768274267368,26.9768274267368,31.6087498907278
makrolon-dark_green_636,187.517,13.006,11.5526438708761,,187.517,48.311,43.4900605224508,,187.517,26.9214050630291,0.265638716803171,26.5638716803171,31.4959416466676
makrolon-dark_green_636,187.781,13.37,11.6979794837885,,187.781,45.493,43.9721544702057,,187.781,29.3891367902754,0.26603152892394,26.603152892394,31.4008481323344
makrolon-dark_green_636,188.046,15.915,11.8651815354096,,188.046,44.584,44.1242390231851,,188.046,35.6966624798134,0.268903935752298,26.8903935752298,31.3463315553466
makrolon-dark_green_636,188.31,16.006,12.2701633818687,,188.31,45.766,44.1702151208666,,188.31,34.973561158939,0.277792701445823,27.7792701445823,31.3291591396111
makrolon-dark_green_636,188.575,14.551,12.6437470436818,,188.575,43.765,44.3297936087799,,188.575,33.2480292471153,0.285220074680826,28.5220074680826,31.3429583675411
makrolon-dark_green_636,188.839,15.097,12.8344723393136,,188.839,44.402,44.273314247902,,188.839,34.0007206882573,0.289891835687947,28.9891835687947,31.3682831383638
makrolon-dark_green_636,189.104,13.278,13.0607251053823,,189.104,41.947,44.2861828231118,,189.104,31.654230338284,0.294916478973804,29.4916478973804,31.3836322610571
makrolon-dark_green_636,189.368,13.551,13.082452594844,,189.368,42.311,44.0522645408006,,189.368,32.0271324241923,0.296975711265133,29.6975711265133,31.3846002899838
makrolon-dark_green_636,189.633,17.006,13.1293073353596,,189.633,43.674,43.8781380867205,,189.633,38.938498878051,0.299222070667879,29.9222070667879,31.3826896379874
makrolon-dark_green_636,189.897,16.369,13.5169766018237,,189.897,43.31,43.8577242780485,,189.897,37.7949665204341,0.308200592354701,30.8200592354701,31.3760562934696
makrolon-dark_green_636,190.162,14.824,13.8021789416413,,190.162,43.037,43.8029518502436,,190.162,34.4447800729605,0.315097005079226,31.5097005079226,31.3679093532217
makrolon-dark_green_636,190.427,13.096,13.9043610474772,,190.427,42.765,43.7263566652193,,190.427,30.6231731556179,0.317985812399892,31.7985812399892,31.346668816163
makrolon-dark_green_636,190.691,12.732,13.8235249427295,,190.691,42.855,43.6302209986973,,190.691,29.7094854742737,0.316833713566158,31.6833713566158,31.3076432242017
makrolon-dark_green_636,190.956,11.278,13.7143724484565,,190.956,43.855,43.5526988988276,,190.956,25.7165659559913,0.314891448640527,31.4891448640527,31.2283432152743
makrolon-dark_green_636,191.22,11.914,13.4707352036109,,191.22,43.219,43.5829290089449,,191.22,27.5665795136398,0.309082833805093,30.9082833805093,31.1207370627841
makrolon-dark_green_636,191.485,12.369,13.3150616832498,,191.485,44.582,43.5465361080504,,191.485,27.7443811403705,0.305766264628066,30.5766264628066,30.9860255360335
makrolon-dark_green_636,191.749,12.368,13.2204555149248,,191.749,43.4,43.6500824972453,,191.749,28.4976958525346,0.302873551630953,30.2873551630953,30.8401753549831
makrolon-dark_green_636,192.014,12.55,13.1352099634323,,192.014,45.309,43.6250742475208,,192.014,27.698691209252,0.301093125685139,30.109312568514,30.6904455387614
makrolon-dark_green_636,192.278,12.368,13.0766889670891,,192.278,47.127,43.7934668227687,,192.278,26.2439790353725,0.298599081456834,29.8599081456834,30.5393116622014
makrolon-dark_green_636,192.543,10.55,13.0058200703802,,192.543,47.036,44.1268201404918,,192.543,22.4296283697593,0.294737305542797,29.4737305542797,30.3769620080104
makrolon-dark_green_636,192.807,11.095,12.7602380633422,,192.807,45.4,44.4177381264427,,192.807,24.4383259911894,0.287277979509402,28.7277979509402,30.2163236866763
makrolon-dark_green_636,193.072,13.459,12.5937142570079,,193.072,46.036,44.5159643137984,,193.072,29.2358154487792,0.282903323585969,28.2903323585969,30.0735809318867
makrolon-dark_green_636,193.336,13.004,12.6802428313072,,193.336,44.672,44.6679678824186,,193.336,29.1099570200573,0.283877763696032,28.3877763696032,29.9397119860043
makrolon-dark_green_636,193.601,12.55,12.7126185481764,,193.601,44.945,44.6683710941767,,193.601,27.9230170208032,0.284600003017208,28.4600003017208,29.8104851907238
makrolon-dark_green_636,193.865,11.731,12.6963566933588,,193.865,43.945,44.696033984759,,193.865,26.6947320514279,0.284060028630015,28.4060028630015,29.6796992483973
makrolon-dark_green_636,194.13,9.731,12.5998210240229,,194.13,43.036,44.6209305862831,,194.13,22.6113021656288,0.282374680636899,28.2374680636899,29.5406051379027
makrolon-dark_green_636,194.395,9.64,12.3129389216206,,194.395,42.672,44.4624375276548,,194.395,22.5909261342332,0.276929012584211,27.6929012584211,29.3947230507718
makrolon-dark_green_636,194.659,9.367,12.0456450294586,,194.659,44.035,44.2833937748893,,194.659,21.2717156807085,0.27201268924174,27.201268924174,29.2375989451577
makrolon-dark_green_636,194.924,9.186,11.7777805265127,,194.924,42.581,44.2585543974004,,194.924,21.5730020431648,0.266113086766442,26.6113086766442,29.0876953719733
makrolon-dark_green_636,195.188,12.913,11.5186024738614,,195.188,40.762,44.0907989576604,,195.188,31.6790147686571,0.261247306607498,26.1247306607498,28.9666448603494
makrolon-dark_green_636,195.453,15.003,11.6580422264753,,195.453,40.853,43.7579190618943,,195.453,36.7243531686779,0.266421312448275,26.6421312448275,28.8920621094206
makrolon-dark_green_636,195.717,14.822,11.9925380038278,,195.717,41.126,43.4674271557049,,195.717,36.0404610222244,0.275897120868673,27.5897120868673,28.8510412436026
makrolon-dark_green_636,195.982,12.821,12.275484203445,,195.982,40.762,43.2332844401344,,195.982,31.453314361415,0.283935961896279,28.3935961896279,28.8215700733681
makrolon-dark_green_636,196.246,13.094,12.3300357831005,,196.246,42.035,42.986155996121,,196.246,31.1502319495658,0.286837366528264,28.6837366528264,28.8188094577915
makrolon-dark_green_636,196.511,12.639,12.4064322047904,,196.511,43.216,42.8910403965089,,196.511,29.2461125509071,0.289254634303538,28.9254634303538,28.8455183831776
makrolon-dark_green_636,196.775,12.276,12.4296889843114,,196.775,42.398,42.923536356858,,196.775,28.9541959526393,0.289577468197712,28.9577468197712,28.8990472540935
makrolon-dark_green_636,197.04,12.185,12.4143200858803,,197.04,43.58,42.8709827211722,,197.04,27.9600734281781,0.289573956506235,28.9573956506235,28.9610015710994
makrolon-dark_green_636,197.304,12.912,12.3913880772922,,197.304,44.67,42.941884449055,,197.304,28.9053055742109,0.288561814095351,28.8561814095351,29.0220317911629
makrolon-dark_green_636,197.569,12.275,12.443449269563,,197.569,45.034,43.1146960041495,,197.569,27.2571834613847,0.288612710347428,28.8612710347428,29.0707904525133
makrolon-dark_green_636,197.833,15.003,12.4266043426067,,197.833,45.67,43.3066264037345,,197.833,32.8508867965842,0.286944640451954,28.6944640451954,29.1073077482571
makrolon-dark_green_636,198.098,14.639,12.684243908346,,198.098,45.852,43.5429637633611,,198.098,31.9266335165314,0.291304100871037,29.1304100871037,29.1316672031202
makrolon-dark_green_636,198.363,15.366,12.8797195175114,,198.363,42.943,43.773867387025,,198.363,35.7823160934262,0.294233072980185,29.4233072980185,29.1602926349287
makrolon-dark_green_636,198.627,14.911,13.1283475657603,,198.627,44.124,43.6907806483225,,198.627,33.7934004170066,0.300483245457057,30.0483245457057,29.1855500143388
makrolon-dark_green_636,198.892,15.275,13.3066128091843,,198.892,42.215,43.7341025834902,,198.892,36.1838209167358,0.304261709355563,30.4261709355563,29.2203149551171
makrolon-dark_green_636,199.156,15.548,13.5034515282658,,199.156,41.124,43.5821923251412,,199.156,37.8076062639821,0.309838739353094,30.9838739353094,29.2665096616287
makrolon-dark_green_636,199.421,15.911,13.7079063754393,,199.421,39.488,43.3363730926271,,199.421,40.2932536466775,0.316314112077169,31.6314112077169,29.3099607062943
makrolon-dark_green_636,199.685,16.184,13.9282157378953,,199.685,38.487,42.9515357833644,,199.685,42.0505625276067,0.324277478880974,32.4277478880974,29.3583218586998
makrolon-dark_green_636,199.95,16.002,14.1537941641058,,199.95,38.578,42.5050822050279,,199.95,41.4795997718907,0.332990631469277,33.2990631469277,29.4191293886804
makrolon-dark_green_636,200.214,16.184,14.3386147476952,,200.214,38.487,42.1123739845251,,200.214,42.0505625276067,0.340484598492694,34.0484598492694,29.5029877849855
makrolon-dark_green_636,200.479,17.911,14.5231532729257,,200.479,36.669,41.7498365860726,,200.479,48.845073495323,0.347861320199047,34.7861320199047,29.6258796844935
makrolon-dark_green_636,200.743,17.183,14.8619379456331,,200.743,36.123,41.2417529274654,,200.743,47.5680314481079,0.360361451458473,36.0361451458473,29.7921125348006
makrolon-dark_green_636,201.008,15.729,15.0940441510698,,201.008,35.305,40.7298776347188,,201.008,44.5517632063447,0.370588988418747,37.0588988418748,29.9850997661842
