material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
makrolon-grey_751,173.232,21.467,#N/A,,173.232,26.024,#N/A,,173.232,82.4892407008915,#N/A,#N/A,#N/A
makrolon-grey_751,173.496,22.086,21.467,,173.496,28.858,26.024,,173.496,76.5333702959318,0.824892407008915,82.4892407008915,#N/A
makrolon-grey_751,173.761,21.676,21.5289,,173.761,31.733,26.3074,,173.761,68.3074402042038,0.81835909287881,81.835909287881,#N/A
makrolon-grey_751,174.025,22.578,21.54361,,174.025,33.08,26.84996,,174.025,68.2527206771463,0.802370282860757,80.2370282860757,#N/A
makrolon-grey_751,174.29,23.2,21.647049,,174.29,33.457,27.472964,,174.29,69.3427384403862,0.787940063547566,78.7940063547566,#N/A
makrolon-grey_751,174.555,23.619,21.8023441,,174.555,34.767,28.0713676,,174.555,67.9351108810078,0.77667552257055,77.667552257055,#N/A
makrolon-grey_751,174.819,25.437,21.98400969,,174.819,37.221,28.74093084,,174.819,68.3404529700975,0.764902494368898,76.4902494368898,#N/A
makrolon-grey_751,175.084,25.437,22.329308721,,175.084,37.766,29.588937756,,175.084,67.3542339670603,0.754650569247694,75.4650569247694,#N/A
makrolon-grey_751,175.348,23.436,22.6400778489,,175.348,37.13,30.4066439804,,175.348,63.1187718825747,0.744576674212837,74.4576674212837,#N/A
makrolon-grey_751,175.613,20.164,22.71967006401,,175.613,39.312,31.07897958236,,175.613,51.2922262922263,0.731030116474782,73.1030116474782,#N/A
makrolon-grey_751,175.877,20.8,22.464103057609,,175.877,42.312,31.902281624124,,175.877,49.1586311211949,0.704153493542669,70.4153493542669,#N/A
makrolon-grey_751,176.142,22.527,22.2976927518481,,176.142,41.584,32.9432534617116,,176.142,54.1722777991535,0.676851567734913,67.6851567734913,#N/A
makrolon-grey_751,176.406,21.709,22.3206234766633,,176.406,41.493,33.8073281155404,,176.406,52.3196683777987,0.660230332322625,66.0230332322625,#N/A
makrolon-grey_751,176.671,22.163,22.259461128997,,176.671,39.948,34.5758953039864,,176.671,55.4796235105637,0.643785531315818,64.3785531315818,#N/A
makrolon-grey_751,176.935,20.254,22.2498150160973,,176.935,39.857,35.1131057735878,,176.935,50.8166695937978,0.633661264815648,63.3661264815648,#N/A
makrolon-grey_751,177.2,19.708,22.0502335144875,,177.2,39.584,35.587495196229,,177.2,49.787793047696,0.619606223840786,61.9606223840786,#N/A
makrolon-grey_751,177.464,20.799,21.8160101630388,,177.464,37.584,35.9871456766061,,177.464,55.3400383141762,0.606216740807554,60.6216740807554,#N/A
makrolon-grey_751,177.729,20.526,21.7143091467349,,177.729,36.038,36.1468311089455,,177.729,56.9565458682502,0.600725111456897,60.0725111456897,#N/A
makrolon-grey_751,177.993,20.254,21.5954782320614,,177.993,36.856,36.1359479980509,,177.993,54.9544171912307,0.597617592133634,59.7617592133634,#N/A
makrolon-grey_751,178.258,20.254,21.4613304088553,,178.258,38.766,36.2079531982458,,178.258,52.2468142186452,0.592724208721497,59.2724208721497,#N/A
makrolon-grey_751,178.523,21.435,21.3405973679698,,178.523,38.402,36.4637578784213,,178.523,55.8174053434717,0.585255020591249,58.5255020591249,#N/A
makrolon-grey_751,178.787,21.344,21.3500376311728,,178.787,37.584,36.6575820905791,,178.787,56.7901234567901,0.58241805415365,58.241805415365,#N/A
makrolon-grey_751,179.052,19.617,21.3494338680555,,179.052,38.311,36.7502238815212,,179.052,51.2046148625721,0.580933436946773,58.0933436946773,#N/A
makrolon-grey_751,179.316,19.617,21.1761904812499,,179.316,36.856,36.9063014933691,,179.316,53.2260690253961,0.573782514757125,57.3782514757125,#N/A
makrolon-grey_751,179.581,18.162,21.020271433125,,179.581,37.856,36.9012713440322,,179.581,47.9765426880812,0.569635426301496,56.9635426301496,#N/A
makrolon-grey_751,179.845,18.889,20.7344442898125,,179.845,36.583,36.996744209629,,179.845,51.6332722849411,0.560439701729646,56.0439701729646,#N/A
makrolon-grey_751,180.11,18.98,20.5498998608312,,180.11,36.492,36.9553697886661,,180.11,52.0113997588513,0.556073446926614,55.6073446926614,#N/A
makrolon-grey_751,180.374,17.434,20.3929098747481,,180.374,36.674,36.9090328097995,,180.374,47.5377651742379,0.55251813234547,55.2518132345471,#N/A
