material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
makrolon-petrol_green_637,173.232,12.333,#N/A,,173.232,26.024,#N/A,,173.232,47.3908699661851,#N/A,#N/A,#N/A
makrolon-petrol_green_637,173.496,11.714,12.333,,173.496,28.858,26.024,,173.496,40.5918636080116,0.473908699661851,47.3908699661851,#N/A
makrolon-petrol_green_637,173.761,12,12.2711,,173.761,31.733,26.3074,,173.761,37.8155232723033,0.466450504420809,46.6450504420809,#N/A
makrolon-petrol_green_637,174.025,11.778,12.24399,,174.025,33.08,26.84996,,174.025,35.6045949214027,0.456015204491925,45.6015204491925,#N/A
makrolon-petrol_green_637,174.29,11.7,12.197391,,174.29,33.457,27.472964,,174.29,34.9702603341603,0.443977977767524,44.3977977767524,#N/A
makrolon-petrol_green_637,174.555,11.273,12.1476519,,174.555,34.767,28.0713676,,174.555,32.4244254609256,0.432741720072092,43.2741720072092,#N/A
makrolon-petrol_green_637,174.819,13,12.06018671,,174.819,37.221,28.74093084,,174.819,34.9265199752828,0.419617122950497,41.9617122950497,#N/A
makrolon-petrol_green_637,175.084,12.909,12.154168039,,175.084,37.766,29.588937756,,175.084,34.1815389503786,0.410767298888092,41.0767298888092,#N/A
makrolon-petrol_green_637,175.348,7.818,12.2296512351,,175.348,37.13,30.4066439804,,175.348,21.055750067331,0.40220325672847,40.220325672847,#N/A
makrolon-petrol_green_637,175.613,9.727,11.78848611159,,175.613,39.312,31.07897958236,,175.613,24.743080993081,0.379307373343782,37.9307373343782,#N/A
makrolon-petrol_green_637,175.877,12.545,11.582337500431,,175.877,42.312,31.902281624124,,175.877,29.6487993949707,0.363056712898949,36.3056712898949,#N/A
makrolon-petrol_green_637,176.142,10.818,11.6786037503879,,176.142,41.584,32.9432534617116,,176.142,26.0148133897653,0.354506690238151,35.4506690238151,#N/A
makrolon-petrol_green_637,176.406,11.636,11.5925433753491,,176.406,41.493,33.8073281155404,,176.406,28.0432844094185,0.342900312492317,34.2900312492317,#N/A
makrolon-petrol_green_637,176.671,11.818,11.5968890378142,,176.671,39.948,34.5758953039864,,176.671,29.5834584960449,0.335403868384491,33.5403868384491,#N/A
makrolon-petrol_green_637,176.935,12.636,11.6190001340328,,176.935,39.857,35.1131057735878,,176.935,31.7033394384926,0.330902091343132,33.0902091343132,#N/A
makrolon-petrol_green_637,177.2,11.636,11.7207001206295,,177.2,39.584,35.587495196229,,177.2,29.395715440582,0.329348836044844,32.9348836044844,#N/A
makrolon-petrol_green_637,177.464,12.091,11.7122301085666,,177.464,37.584,35.9871456766061,,177.464,32.1706045125585,0.325455934010911,32.5455934010911,#N/A
makrolon-petrol_green_637,177.729,9.818,11.7501070977099,,177.729,36.038,36.1468311089455,,177.729,27.2434652311449,0.325066035866199,32.5066035866199,#N/A
makrolon-petrol_green_637,177.993,10.273,11.5568963879389,,177.993,36.856,36.1359479980509,,177.993,27.8733449099197,0.319817163467311,31.9817163467311,#N/A
makrolon-petrol_green_637,178.258,14.636,11.428506749145,,178.258,38.766,36.2079531982458,,178.258,37.7547335293814,0.315635260755327,31.5635260755327,#N/A
makrolon-petrol_green_637,178.523,13.182,11.7492560742305,,178.523,38.402,36.4637578784213,,178.523,34.3263371699391,0.322217367540814,32.2217367540814,#N/A
makrolon-petrol_green_637,178.787,11.273,11.8925304668075,,178.787,37.584,36.6575820905791,,178.787,29.9941464452959,0.324422119206378,32.4422119206378,#N/A
makrolon-petrol_green_637,179.052,11.091,11.8305774201267,,179.052,38.311,36.7502238815212,,179.052,28.9499099475346,0.321918512884907,32.1918512884907,#N/A
makrolon-petrol_green_637,179.316,11.273,11.756619678114,,179.316,36.856,36.9063014933691,,179.316,30.5866073366616,0.318553179332433,31.8553179332433,#N/A
makrolon-petrol_green_637,179.581,10.909,11.7082577103026,,179.581,37.856,36.9012713440322,,179.581,28.8170963651733,0.317286025219728,31.7286025219728,#N/A
makrolon-petrol_green_637,179.845,10.545,11.6283319392724,,179.845,36.583,36.996744209629,,179.845,28.8248640078725,0.314306898828301,31.4306898828301,#N/A
makrolon-petrol_green_637,180.11,11.364,11.5199987453451,,180.11,36.492,36.9553697886661,,180.11,31.1410720157843,0.311727329782484,31.1727329782484,#N/A
makrolon-petrol_green_637,180.374,10.818,11.5043988708106,,180.374,36.674,36.9090328097995,,180.374,29.4977368162731,0.311696026555217,31.1696026555217,#N/A
makrolon-petrol_green_637,180.639,9.818,11.4357589837296,,180.639,37.128,36.8855295288195,,180.639,26.4436543848309,0.310033748459393,31.0033748459393,#N/A
makrolon-petrol_green_637,180.903,10.182,11.2739830853566,,180.903,37.583,36.9097765759376,,180.903,27.0920362930048,0.305447069346564,30.5447069346564,#N/A
makrolon-petrol_green_637,181.168,8.455,11.1647847768209,,181.168,35.674,36.9770989183438,,181.168,23.7007344284353,0.301937823772385,30.1937823772385,#N/A
makrolon-petrol_green_637,181.432,9.364,10.8938062991389,,181.432,36.037,36.8467890265094,,181.432,25.9844049171685,0.295651441738961,29.5651441738961,#N/A
