material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
makrolon-redish_brown_818,173.232,6.776,#N/A,,173.232,26.024,#N/A,,173.232,26.0375038426068,#N/A,#N/A,#N/A
makrolon-redish_brown_818,173.496,7.086,6.776,,173.496,28.858,26.024,,173.496,24.5547161965486,0.260375038426068,26.0375038426068,#N/A
makrolon-redish_brown_818,173.761,9.068,6.807,,173.761,31.733,26.3074,,173.761,28.5759304194372,0.258748489018299,25.8748489018299,#N/A
makrolon-redish_brown_818,174.025,9.943,7.0331,,174.025,33.08,26.84996,,174.025,30.0574365175333,0.261940799911806,26.1940799911806,#N/A
makrolon-redish_brown_818,174.29,9.643,7.32409,,174.29,33.457,27.472964,,174.29,28.8220701198553,0.266592639949588,26.6592639949588,#N/A
makrolon-redish_brown_818,174.555,9.761,7.555981,,174.555,34.767,28.0713676,,174.555,28.0754738688987,0.269170391256606,26.9170391256606,#N/A
makrolon-redish_brown_818,174.819,9.943,7.7764829,,174.819,37.221,28.74093084,,174.819,26.7134144703259,0.270571713327292,27.0571713327292,#N/A
makrolon-redish_brown_818,175.084,9.034,7.99313461,,175.084,37.766,29.588937756,,175.084,23.9209871312821,0.270139289078709,27.0139289078709,#N/A
makrolon-redish_brown_818,175.348,7.761,8.097221149,,175.348,37.13,30.4066439804,,175.348,20.9022353891732,0.266297758944375,26.6297758944375,#N/A
makrolon-redish_brown_818,175.613,7.67,8.0635990341,,175.613,39.312,31.07897958236,,175.613,19.510582010582,0.259455076790127,25.9455076790127,#N/A
makrolon-redish_brown_818,175.877,7.125,8.02423913069,,175.877,42.312,31.902281624124,,175.877,16.8391945547362,0.25152555623552,25.152555623552,#N/A
makrolon-redish_brown_818,176.142,7.034,7.934315217621,,176.142,41.584,32.9432534617116,,176.142,16.9151596767988,0.240847954706194,24.0847954706194,#N/A
makrolon-redish_brown_818,176.406,6.488,7.8442836958589,,176.406,41.493,33.8073281155404,,176.406,15.6363724001639,0.232029093486778,23.2029093486778,#N/A
makrolon-redish_brown_818,176.671,6.488,7.70865532627301,,176.671,39.948,34.5758953039864,,176.671,16.2411134474817,0.222948827745445,22.2948827745445,#N/A
makrolon-redish_brown_818,176.935,7.579,7.58658979364571,,176.935,39.857,35.1131057735878,,176.935,19.0154803422234,0.216061485491049,21.6061485491049,#N/A
makrolon-redish_brown_818,177.2,7.488,7.58583081428114,,177.2,39.584,35.587495196229,,177.2,18.9167340339531,0.213160009504826,21.3160009504827,#N/A
makrolon-redish_brown_818,177.464,8.215,7.57604773285303,,177.464,37.584,35.9871456766061,,177.464,21.857705406556,0.210520939919332,21.0520939919332,#N/A
makrolon-redish_brown_818,177.729,8.397,7.63994295956772,,177.729,36.038,36.1468311089455,,177.729,23.3004051279205,0.211358581794934,21.1358581794934,#N/A
