material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
makrolon-uv_orange_2208,173.232,14.953,#N/A,,173.232,26.024,#N/A,,173.232,57.4584998462957,#N/A,#N/A,#N/A
makrolon-uv_orange_2208,173.496,13.215,14.953,,173.496,28.858,26.024,,173.496,45.7931942615566,0.574584998462957,57.4584998462957,#N/A
makrolon-uv_orange_2208,173.761,15.411,14.7792,,173.761,31.733,26.3074,,173.761,48.5645857624555,0.561788698236998,56.1788698236998,#N/A
makrolon-uv_orange_2208,174.025,16.897,14.84238,,174.025,33.08,26.84996,,174.025,51.0792019347038,0.552789650338399,55.2789650338399,#N/A
makrolon-uv_orange_2208,174.29,18.586,15.047842,,174.29,33.457,27.472964,,174.29,55.5519024419404,0.547732745545766,54.7732745545766,#N/A
makrolon-uv_orange_2208,174.555,19.968,15.4016578,,174.555,34.767,28.0713676,,174.555,57.4337734058159,0.548660757091151,54.8660757091151,#N/A
makrolon-uv_orange_2208,174.819,22.422,15.85829202,,174.819,37.221,28.74093084,,174.819,60.2401869912146,0.551766820228708,55.1766820228708,#N/A
makrolon-uv_orange_2208,175.084,23.695,16.514662818,,175.084,37.766,29.588937756,,175.084,62.7416194460626,0.558136387124988,55.8136387124988,#N/A
makrolon-uv_orange_2208,175.348,24.604,17.2326965362,,175.348,37.13,30.4066439804,,175.348,66.2644761648263,0.566741155232657,56.6741155232657,#N/A
makrolon-uv_orange_2208,175.613,26.24,17.96982688258,,175.613,39.312,31.07897958236,,175.613,66.7480667480668,0.578198741530736,57.8198741530736,#N/A
makrolon-uv_orange_2208,175.877,26.967,18.796844194322,,175.877,42.312,31.902281624124,,175.877,63.7336925694838,0.589200622569519,58.9200622569519,#N/A
makrolon-uv_orange_2208,176.142,27.604,19.6138597748898,,176.142,41.584,32.9432534617116,,176.142,66.3813005001924,0.595383203352579,59.5383203352579,#N/A
makrolon-uv_orange_2208,176.406,29.058,20.4128737974008,,176.406,41.493,33.8073281155404,,176.406,70.0310895813752,0.603800268617427,60.3800268617427,#N/A
makrolon-uv_orange_2208,176.671,27.694,21.2773864176607,,176.671,39.948,34.5758953039864,,176.671,69.3251226594573,0.615382081377589,61.5382081377589,#N/A
makrolon-uv_orange_2208,176.935,28.058,21.9190477758947,,176.935,39.857,35.1131057735878,,176.935,70.3966680884161,0.624241214013665,62.4241214013665,#N/A
makrolon-uv_orange_2208,177.2,27.149,22.5329429983052,,177.2,39.584,35.587495196229,,177.2,68.5857922392886,0.633170243481842,63.3170243481842,#N/A
makrolon-uv_orange_2208,177.464,25.33,22.9945486984747,,177.464,37.584,35.9871456766061,,177.464,67.3957002979991,0.638965615809386,63.8965615809386,#N/A
makrolon-uv_orange_2208,177.729,22.33,23.2280938286272,,177.729,36.038,36.1468311089455,,177.729,61.9623730506687,0.642603877463516,64.2603877463516,#N/A
makrolon-uv_orange_2208,177.993,21.603,23.1382844457645,,177.993,36.856,36.1359479980509,,177.993,58.6146082049056,0.640312091632756,64.0312091632756,#N/A
makrolon-uv_orange_2208,178.258,20.966,22.984756001188,,178.258,38.766,36.2079531982458,,178.258,54.0834752102358,0.634798544820854,63.4798544820854,#N/A
makrolon-uv_orange_2208,178.523,18.512,22.7828804010692,,178.523,38.402,36.4637578784213,,178.523,48.2058226134056,0.624808898661315,62.4808898661315,#N/A
makrolon-uv_orange_2208,178.787,17.239,22.3557923609623,,178.787,37.584,36.6575820905791,,178.787,45.8679225202214,0.609854526294785,60.9854526294785,#N/A
makrolon-uv_orange_2208,179.052,17.875,21.8441131248661,,179.052,38.311,36.7502238815212,,179.052,46.6576179165253,0.594394014994008,59.4394014994008,#N/A
makrolon-uv_orange_2208,179.316,19.421,21.4472018123795,,179.316,36.856,36.9063014933691,,179.316,52.6942695897547,0.581125741256757,58.1125741256757,#N/A
makrolon-uv_orange_2208,179.581,21.784,21.2445816311415,,179.581,37.856,36.9012713440322,,179.581,57.5443786982249,0.575714084023755,57.5714084023755,#N/A
makrolon-uv_orange_2208,179.845,21.42,21.2985234680274,,179.845,36.583,36.996744209629,,179.845,58.5517863488506,0.575686426550045,57.5686426550045,#N/A
makrolon-uv_orange_2208,180.11,22.238,21.3106711212246,,180.11,36.492,36.9553697886661,,180.11,60.9393839745698,0.576659663888966,57.6659663888966,#N/A
makrolon-uv_orange_2208,180.374,22.693,21.4034040091022,,180.374,36.674,36.9090328097995,,180.374,61.877624475105,0.579896095337928,57.9896095337928,#N/A
makrolon-uv_orange_2208,180.639,24.147,21.532363608192,,180.639,37.128,36.8855295288195,,180.639,65.0371687136393,0.583761813460431,58.3761813460431,#N/A
makrolon-uv_orange_2208,180.903,24.238,21.7938272473728,,180.903,37.583,36.9097765759376,,180.903,64.4919245403507,0.590462182899821,59.0462182899821,#N/A
makrolon-uv_orange_2208,181.168,23.874,22.0382445226355,,181.168,35.674,36.9770989183438,,181.168,66.9226887929585,0.595997121659066,59.5997121659066,#N/A
makrolon-uv_orange_2208,181.432,24.147,22.2218200703719,,181.432,36.037,36.8467890265094,,181.432,67.0061325859533,0.603087016737997,60.3087016737997,#N/A
makrolon-uv_orange_2208,181.697,25.056,22.4143380633347,,181.697,35.855,36.7658101238585,,181.697,69.8814670199414,0.609651684209438,60.9651684209438,#N/A
