material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
makrolon-wine_red_327,173.232,9.595,#N/A,,173.232,26.024,#N/A,,173.232,36.869812480787,#N/A,#N/A,#N/A
makrolon-wine_red_327,173.496,6.215,9.595,,173.496,28.858,26.024,,173.496,21.5364890151778,0.36869812480787,36.869812480787,#N/A
makrolon-wine_red_327,173.761,7.554,9.257,,173.761,31.733,26.3074,,173.761,23.8048718999149,0.35187817876339,35.187817876339,#N/A
makrolon-wine_red_327,174.025,9.262,9.0867,,174.025,33.08,26.84996,,174.025,27.9987908101572,0.338425085177036,33.8425085177036,#N/A
makrolon-wine_red_327,174.29,10.629,9.10423,,174.29,33.457,27.472964,,174.29,31.7691365035717,0.331388706366011,33.1388706366011,#N/A
makrolon-wine_red_327,174.555,10.838,9.256707,,174.555,34.767,28.0713676,,174.555,31.1732389909972,0.329756181882638,32.9756181882638,#N/A
makrolon-wine_red_327,174.819,14.201,9.4148363,,174.819,37.221,28.74093084,,174.819,38.1531930899224,0.327575900460989,32.7575900460989,#N/A
makrolon-wine_red_327,175.084,15.292,9.89345267,,175.084,37.766,29.588937756,,175.084,40.4914473335805,0.334363225594127,33.4363225594127,#N/A
makrolon-wine_red_327,175.348,14.383,10.433307403,,175.348,37.13,30.4066439804,,175.348,38.7368704551576,0.343125910564983,34.3125910564983,#N/A
makrolon-wine_red_327,175.613,14.201,10.8282766627,,175.613,39.312,31.07897958236,,175.613,36.1238298738299,0.348411589061501,34.8411589061501,#N/A
makrolon-wine_red_327,175.877,12.383,11.16554899643,,175.877,42.312,31.902281624124,,175.877,29.2659292871998,0.349992176985448,34.9992176985448,#N/A
makrolon-wine_red_327,176.142,11.11,11.287294096787,,176.142,41.584,32.9432534617116,,176.142,26.7170065409773,0.342628396126864,34.2628396126864,#N/A
makrolon-wine_red_327,176.406,14.565,11.2695646871083,,176.406,41.493,33.8073281155404,,176.406,35.1023064131299,0.333346801279097,33.3346801279097,#N/A
makrolon-wine_red_327,176.671,12.201,11.5991082183975,,176.671,39.948,34.5758953039864,,176.671,30.5422048663262,0.335468051265766,33.5468051265766,#N/A
makrolon-wine_red_327,176.935,10.747,11.6592973965577,,176.935,39.857,35.1131057735878,,176.935,26.9638959279424,0.332049732989666,33.2049732989666,#N/A
makrolon-wine_red_327,177.2,9.201,11.568067656902,,177.2,39.584,35.587495196229,,177.2,23.2442400970089,0.325059900763338,32.5059900763338,#N/A
makrolon-wine_red_327,177.464,7.656,11.3313608912118,,177.464,37.584,35.9871456766061,,177.464,20.3703703703704,0.314872454543619,31.4872454543619,#N/A
makrolon-wine_red_327,177.729,6.201,10.9638248020906,,177.729,36.038,36.1468311089455,,177.729,17.2068372273711,0.303313581460182,30.3313581460182,#N/A
makrolon-wine_red_327,177.993,7.019,10.4875423218815,,177.993,36.856,36.1359479980509,,177.993,19.0443889733015,0.290224635104279,29.0224635104279,#N/A
makrolon-wine_red_327,178.258,6.565,10.1406880896934,,178.258,38.766,36.2079531982458,,178.258,16.934942991281,0.280067973855663,28.0067973855663,#N/A
makrolon-wine_red_327,178.523,7.655,9.78311928072404,,178.523,38.402,36.4637578784213,,178.523,19.9338576115827,0.268297066729744,26.8297066729745,#N/A
makrolon-wine_red_327,178.787,9.383,9.57030735265163,,178.787,37.584,36.6575820905791,,178.787,24.965410813112,0.261073066112322,26.1073066112322,#N/A
makrolon-wine_red_327,179.052,8.837,9.55157661738647,,179.052,38.311,36.7502238815212,,179.052,23.0664822113753,0.259905263385054,25.9905263385054,#N/A
makrolon-wine_red_327,179.316,7.837,9.48011895564782,,179.316,36.856,36.9063014933691,,179.316,21.2638376383764,0.25686992659915,25.686992659915,#N/A
makrolon-wine_red_327,179.581,10.928,9.31580706008304,,179.581,37.856,36.9012713440322,,179.581,28.8672865595943,0.252452198007796,25.2452198007796,#N/A
makrolon-wine_red_327,179.845,11.11,9.47702635407474,,179.845,36.583,36.996744209629,,179.845,30.3692972145532,0.256158387894257,25.6158387894257,#N/A
makrolon-wine_red_327,180.11,12.473,9.64032371866726,,180.11,36.492,36.9553697886661,,180.11,34.1800942672367,0.260863949509819,26.0863949509819,#N/A
makrolon-wine_red_327,180.374,15.11,9.92359134680054,,180.374,36.674,36.9090328097995,,180.374,41.2008507389431,0.268866198633246,26.8866198633246,#N/A
makrolon-wine_red_327,180.639,16.292,10.4422322121205,,180.639,37.128,36.8855295288195,,180.639,43.8806291747468,0.283098340880852,28.3098340880852,#N/A
makrolon-wine_red_327,180.903,15.11,11.0272089909084,,180.903,37.583,36.9097765759376,,180.903,40.204347710401,0.29876119591841,29.876119591841,#N/A
makrolon-wine_red_327,181.168,16.564,11.4354880918176,,181.168,35.674,36.9770989183438,,181.168,46.4315748163929,0.309258660801662,30.9258660801662,#N/A
makrolon-wine_red_327,181.432,14.655,11.9483392826358,,181.432,36.037,36.8467890265094,,181.432,40.6665371701307,0.324270841457572,32.4270841457572,#N/A
makrolon-wine_red_327,181.697,14.473,12.2190053543723,,181.697,35.855,36.7658101238585,,181.697,40.36536047971,0.332346963475257,33.2346963475257,#N/A
makrolon-wine_red_327,181.961,14.473,12.444404818935,,181.961,36.764,36.6747291114727,,181.961,39.3673158524644,0.339318247753387,33.9318247753387,#N/A
makrolon-wine_red_327,182.226,12.928,12.6472643370415,,182.226,37.219,36.6836562003254,,182.226,34.7349472043849,0.34476564353281,34.476564353281,#N/A
makrolon-wine_red_327,182.491,11.928,12.6753379033374,,182.491,35.582,36.7371905802929,,182.491,33.5225675903547,0.345027415083201,34.5027415083201,#N/A
makrolon-wine_red_327,182.755,11.109,12.6006041130036,,182.755,36.401,36.6216715222636,,182.755,30.5183923518585,0.344075067828166,34.4075067828166,31.4223299945199
