material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
makrolon-yellowish_green_638,173.232,8.791,#N/A,,173.232,26.024,#N/A,,173.232,33.7803565939133,#N/A,#N/A,#N/A
makrolon-yellowish_green_638,173.496,8.957,8.791,,173.496,28.858,26.024,,173.496,31.038186984545,0.337803565939133,33.7803565939133,#N/A
makrolon-yellowish_green_638,173.761,8.832,8.8076,,173.761,31.733,26.3074,,173.761,27.8322251284152,0.334795532815862,33.4795532815862,#N/A
makrolon-yellowish_green_638,174.025,9.846,8.81004,,174.025,33.08,26.84996,,174.025,29.764207980653,0.328121159212155,32.8121159212155,#N/A
makrolon-yellowish_green_638,174.29,12.357,8.913636,,174.29,33.457,27.472964,,174.29,36.9339749529246,0.324451195000292,32.4451195000292,#N/A
makrolon-yellowish_green_638,174.555,13.412,9.2579724,,174.555,34.767,28.0713676,,174.555,38.5768113440907,0.329801259843143,32.9801259843143,#N/A
makrolon-yellowish_green_638,174.819,15.866,9.67337516,,174.819,37.221,28.74093084,,174.819,42.6264743021413,0.336571394080847,33.6571394080847,#N/A
makrolon-yellowish_green_638,175.084,17.048,10.292637644,,175.084,37.766,29.588937756,,175.084,45.141132235344,0.347854246369925,34.7854246369925,#N/A
makrolon-yellowish_green_638,175.348,20.23,10.9681738796,,175.348,37.13,30.4066439804,,175.348,54.4842445461891,0.360716358131139,36.0716358131139,#N/A
makrolon-yellowish_green_638,175.613,22.594,11.89435649164,,175.613,39.312,31.07897958236,,175.613,57.473544973545,0.382713868070208,38.2713868070208,#N/A
makrolon-yellowish_green_638,175.877,23.321,12.964320842476,,175.877,42.312,31.902281624124,,175.877,55.1167517489128,0.406375976339968,40.6375976339968,#N/A
makrolon-yellowish_green_638,176.142,22.775,13.9999887582284,,176.142,41.584,32.9432534617116,,176.142,54.7686610234706,0.424972863548524,42.4972863548524,#N/A
makrolon-yellowish_green_638,176.406,23.866,14.8774898824056,,176.406,41.493,33.8073281155404,,176.406,57.5181355891355,0.440067012440617,44.0067012440617,#N/A
makrolon-yellowish_green_638,176.671,24.139,15.776340894165,,176.671,39.948,34.5758953039864,,176.671,60.426053870031,0.456281486146971,45.6281486146971,#N/A
makrolon-yellowish_green_638,176.935,24.139,16.6126068047485,,176.935,39.857,35.1131057735878,,176.935,60.5640163584816,0.473116986912749,47.3116986912749,#N/A
makrolon-yellowish_green_638,177.2,22.866,17.3652461242737,,177.2,39.584,35.587495196229,,177.2,57.7657639450283,0.487959212316627,48.7959212316627,#N/A
makrolon-yellowish_green_638,177.464,23.23,17.9153215118463,,177.464,37.584,35.9871456766061,,177.464,61.8082162622393,0.497825575633034,49.7825575633034,#N/A
makrolon-yellowish_green_638,177.729,21.957,18.4467893606617,,177.729,36.038,36.1468311089455,,177.729,60.927354459182,0.510329364835982,51.0329364835982,#N/A
makrolon-yellowish_green_638,177.993,22.139,18.7978104245955,,177.993,36.856,36.1359479980509,,177.993,60.0689168656392,0.520196963577914,52.0196963577914,#N/A
