material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
plexiglas_3C50,173.232,20.134,#N/A,,173.232,26.786,#N/A,,173.232,75.1661315612633,#N/A,#N/A,#N/A
plexiglas_3C50,173.496,20.372,20.134,,173.496,28.501,26.786,,173.496,71.4781937475878,0.751661315612633,75.1661315612633,#N/A
plexiglas_3C50,173.761,22.926,20.1578,,173.761,31.911,26.9575,,173.761,71.8435649149196,0.747762218306594,74.7762218306594,#N/A
plexiglas_3C50,174.025,24.689,20.43462,,174.025,31.675,27.45285,,174.025,77.9447513812155,0.744353318507914,74.4353318507914,#N/A
plexiglas_3C50,174.29,25.6,20.860058,,174.29,32.086,27.875065,,174.29,79.7855762637911,0.74834114288164,74.834114288164,#N/A
plexiglas_3C50,174.555,25.164,21.3340522,,174.555,34.241,28.2961585,,174.555,73.4908443094536,0.753955778131508,75.3955778131508,#N/A
plexiglas_3C50,174.819,29.982,21.71704698,,174.819,36.968,28.89064265,,174.819,81.1025752001731,0.751698300487615,75.1698300487615,#N/A
plexiglas_3C50,175.084,31.437,22.543542282,,175.084,38.604,29.698378385,,175.084,81.4345663661797,0.759083273495709,75.9083273495709,#N/A
plexiglas_3C50,175.348,32.709,23.4328880538,,175.348,38.968,30.5889405465,,175.348,83.9381030589201,0.766057523900781,76.6057523900781,#N/A
plexiglas_3C50,175.613,31.255,24.36049924842,,175.613,39.24,31.42684649185,,175.613,79.6508664627931,0.775149337835645,77.5149337835645,#N/A
plexiglas_3C50,175.877,30.982,25.049949323578,,175.877,40.604,32.208161842665,,175.877,76.3028273076544,0.777751597435009,77.7751597435009,#N/A
plexiglas_3C50,176.142,32.254,25.6431543912202,,176.142,41.24,33.0477456583985,,176.142,78.2104752667313,0.775942621208822,77.5942621208822,#N/A
plexiglas_3C50,176.406,33.163,26.3042389520982,,176.406,39.694,33.8669710925587,,176.406,83.5466317327556,0.776692987400867,77.6692987400867,#N/A
plexiglas_3C50,176.671,31.436,26.9901150568884,,176.671,37.24,34.4496739833028,,176.671,84.4146079484425,0.783465035691486,78.3465035691486,#N/A
plexiglas_3C50,176.935,31.254,27.4347035511995,,176.935,36.058,34.7287065849725,,176.935,86.677020356093,0.789971935294326,78.9971935294326,#N/A
plexiglas_3C50,177.2,31.345,27.8166331960796,,177.2,36.421,34.8616359264753,,177.2,86.0629856401527,0.797915314552251,79.7915314552251,#N/A
plexiglas_3C50,177.464,33.617,28.1694698764716,,177.464,35.512,35.0175723338277,,177.464,94.6637756251408,0.804438114896369,80.4438114896369,#N/A
plexiglas_3C50,177.729,33.617,28.7142228888245,,177.729,36.33,35.067015100445,,177.729,92.5323424167355,0.818838524082425,81.8838524082425,#N/A
plexiglas_3C50,177.993,33.617,29.204500599942,,177.993,36.876,35.1933135904005,,177.993,91.1622735654626,0.829830942884219,82.9830942884219,#N/A
plexiglas_3C50,178.258,31.89,29.6457505399478,,178.258,36.876,35.3615822313604,,178.258,86.4790107386918,0.838360408931489,83.8360408931489,#N/A
plexiglas_3C50,178.523,33.526,29.870175485953,,178.523,37.694,35.5130240082244,,178.523,88.9425372738367,0.841104814927488,84.1104814927488,#N/A
plexiglas_3C50,178.787,34.526,30.2357579373577,,178.787,36.057,35.731121607402,,178.787,95.7539451424134,0.846202318236049,84.6202318236049,#N/A
plexiglas_3C50,179.052,34.617,30.664782143622,,179.052,35.148,35.7637094466618,,179.052,98.4892454762717,0.85742733676314,85.742733676314,#N/A
plexiglas_3C50,179.316,34.435,31.0600039292598,,179.316,36.148,35.7021385019956,,179.316,95.2611486112648,0.869976007950438,86.9976007950438,#N/A
plexiglas_3C50,179.581,36.526,31.3975035363338,,179.581,36.784,35.746724651796,,179.581,99.2986080904741,0.878332318336088,87.8332318336088,#N/A
plexiglas_3C50,179.845,37.253,31.9103531827004,,179.845,37.693,35.8504521866164,,179.845,98.8326745018969,0.890096253642599,89.0096253642599,#N/A
plexiglas_3C50,180.11,38.071,32.4446178644304,,180.11,37.693,36.0347069679548,,180.11,101.00283872337,0.900371352909376,90.0371352909376,#N/A
plexiglas_3C50,180.374,38.707,33.0072560779873,,180.374,36.693,36.2005362711593,,180.374,105.488785326902,0.911789146733828,91.1789146733828,#N/A
plexiglas_3C50,180.639,38.525,33.5772304701886,,180.639,33.693,36.2497826440434,,180.639,114.341257828036,0.926273980727056,92.6273980727056,#N/A
plexiglas_3C50,180.903,38.525,34.0720074231697,,180.903,31.511,35.994104379639,,180.903,122.258893719653,0.946599672652041,94.6599672652041,#N/A
plexiglas_3C50,181.168,39.616,34.5173066808528,,181.168,31.874,35.5457939416751,,181.168,124.289389471042,0.971065852052427,97.1065852052427,#N/A
plexiglas_3C50,181.432,39.889,35.0271760127675,,181.432,33.056,35.1786145475076,,181.432,120.670982575024,0.995695153527561,99.5695153527561,#N/A
plexiglas_3C50,181.697,40.343,35.5133584114907,,181.697,34.329,34.9663530927569,,181.697,117.518715954441,1.01564376237015,101.564376237015,#N/A
plexiglas_3C50,181.961,39.343,35.9963225703417,,181.961,33.965,34.9026177834812,,181.961,115.833946709848,1.03133589559515,103.133589559515,#N/A
plexiglas_3C50,182.226,38.161,36.3309903133075,,182.226,35.237,34.8088560051331,,182.226,108.298095751625,1.04372836349319,104.372836349319,#N/A
plexiglas_3C50,182.491,38.252,36.5139912819767,,182.491,35.146,34.8516704046198,,182.491,108.837421043647,1.04769702163649,104.769702163649,#N/A
