material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
plexiglas_3H00,173.232,20.148,#N/A,,173.232,26.786,#N/A,,173.232,75.2183976704248,#N/A,#N/A,#N/A
plexiglas_3H00,173.496,18.672,20.148,,173.496,28.501,26.786,,173.496,65.5134907547104,0.752183976704248,75.2183976704248,#N/A
plexiglas_3H00,173.761,19.815,20.0004,,173.761,31.911,26.9575,,173.761,62.0945755382157,0.741923397941204,74.1923397941204,#N/A
plexiglas_3H00,174.025,20.37,19.98186,,174.025,31.675,27.45285,,174.025,64.3093922651934,0.727861041749764,72.7861041749764,#N/A
plexiglas_3H00,174.29,19.315,20.020674,,174.29,32.086,27.875065,,174.29,60.1975939662158,0.718228782605529,71.8228782605529,#N/A
plexiglas_3H00,174.555,19.724,19.9501066,,174.555,34.241,28.2961585,,174.555,57.6034578429368,0.705046467703381,70.5046467703381,#N/A
plexiglas_3H00,174.819,18.906,19.92749594,,174.819,36.968,28.89064265,,174.819,51.1415278078338,0.689756063283694,68.9756063283694,#N/A
plexiglas_3H00,175.084,15.633,19.825346346,,175.084,38.604,29.698378385,,175.084,40.4958035436742,0.667556527463915,66.7556527463915,#N/A
plexiglas_3H00,175.348,14.087,19.4061117114,,175.348,38.968,30.5889405465,,175.348,36.1501745021556,0.634415947878275,63.4415947878275,#N/A
plexiglas_3H00,175.613,15.087,18.87420054026,,175.613,39.24,31.42684649185,,175.613,38.4480122324159,0.600575706670241,60.0575706670241,#N/A
plexiglas_3H00,175.877,15.996,18.495480486234,,175.877,40.604,32.208161842665,,175.877,39.3951334843858,0.574248247279163,57.4248247279163,#N/A
plexiglas_3H00,176.142,17.632,18.2455324376106,,176.142,41.24,33.0477456583985,,176.142,42.7546071774976,0.552096128619709,55.2096128619709,#N/A
plexiglas_3H00,176.406,18.269,18.1841791938495,,176.406,39.694,33.8669710925587,,176.406,46.024588098957,0.536929598580046,53.6929598580046,#N/A
plexiglas_3H00,176.671,17.45,18.1926612744646,,176.671,37.24,34.4496739833028,,176.671,46.8582169709989,0.528093858980561,52.8093858980561,#N/A
plexiglas_3H00,176.935,17.177,18.1183951470181,,176.935,36.058,34.7287065849725,,176.935,47.6371401630706,0.521712350636697,52.1712350636697,#N/A
plexiglas_3H00,177.2,17.177,18.0242556323163,,177.2,36.421,34.8616359264753,,177.2,47.1623513906812,0.517022656949613,51.7022656949613,#N/A
plexiglas_3H00,177.464,15.359,17.9395300690847,,177.464,35.512,35.0175723338277,,177.464,43.2501689569723,0.512300792815232,51.2300792815232,#N/A
plexiglas_3H00,177.729,16.268,17.6814770621762,,177.729,36.33,35.067015100445,,177.729,44.7784200385357,0.504219620960892,50.4219620960892,#N/A
plexiglas_3H00,177.993,18.904,17.5401293559586,,177.993,36.876,35.1933135904005,,177.993,51.2636945438768,0.498393801734627,49.8393801734627,#N/A
plexiglas_3H00,178.258,18.45,17.6765164203627,,178.258,36.876,35.3615822313604,,178.258,50.0325414904003,0.499879114704498,49.9879114704498,#N/A
plexiglas_3H00,178.523,19.541,17.7538647783265,,178.523,37.694,35.5130240082244,,178.523,51.8411418262854,0.499925457607183,49.9925457607183,#N/A
plexiglas_3H00,178.787,21.45,17.9325783004938,,178.787,36.057,35.731121607402,,178.787,59.4891421915301,0.501875605740262,50.1875605740262,#N/A
plexiglas_3H00,179.052,20.813,18.2843204704444,,179.052,35.148,35.7637094466618,,179.052,59.2153180835325,0.511253467644731,51.1253467644731,#N/A
plexiglas_3H00,179.316,19.722,18.5371884234,,179.316,36.148,35.7021385019956,,179.316,54.5590350780126,0.519217873247673,51.9217873247673,#N/A
plexiglas_3H00,179.581,20.086,18.65566958106,,179.581,36.784,35.746724651796,,179.581,54.6052631578947,0.521884725461768,52.1884725461768,#N/A
plexiglas_3H00,179.845,18.813,18.798702622954,,179.845,37.693,35.8504521866164,,179.845,49.9111240813944,0.524364449438433,52.4364449438433,#N/A
plexiglas_3H00,180.11,19.722,18.8001323606586,,180.11,37.693,36.0347069679548,,180.11,52.3227124399756,0.521722915004618,52.1722915004618,#N/A
plexiglas_3H00,180.374,20.722,18.8923191245927,,180.374,36.693,36.2005362711593,,180.374,56.4739868639795,0.521879537448845,52.1879537448845,#N/A
plexiglas_3H00,180.639,20.631,19.0752872121335,,180.639,33.693,36.2497826440434,,180.639,61.2323034458196,0.526217974861925,52.6217974861925,#N/A
plexiglas_3H00,180.903,19.721,19.2308584909201,,180.903,31.511,35.994104379639,,180.903,62.5844943035765,0.534278010867761,53.4278010867761,#N/A
plexiglas_3H00,181.168,19.63,19.2798726418281,,181.168,31.874,35.5457939416751,,181.168,61.5862458430068,0.542395330189086,54.2395330189086,#N/A
plexiglas_3H00,181.432,18.903,19.3148853776453,,181.432,33.056,35.1786145475076,,181.432,57.1847773475315,0.549051906281333,54.9051906281333,#N/A
plexiglas_3H00,181.697,17.721,19.2736968398808,,181.697,34.329,34.9663530927569,,181.697,51.6210783885345,0.551206949971378,55.1206949971378,#N/A
plexiglas_3H00,181.961,16.63,19.1184271558927,,181.961,33.965,34.9026177834812,,181.961,48.9621669365523,0.547764848885952,54.7764848885952,#N/A
plexiglas_3H00,182.226,17.448,18.8695844403034,,182.226,35.237,34.8088560051331,,182.226,49.5161336095581,0.542091484923286,54.2091484923286,#N/A
plexiglas_3H00,182.491,16.266,18.7274259962731,,182.491,35.146,34.8516704046198,,182.491,46.2812268821488,0.537346582785044,53.7346582785044,#N/A
plexiglas_3H00,182.755,16.266,18.4812833966458,,182.755,34.237,34.8811033641578,,182.755,47.5100037970616,0.529836547992811,52.9836547992811,56.7275994165434
plexiglas_3H00,183.02,16.812,18.2597550569812,,183.02,33.783,34.816693027742,,183.02,49.7646745404493,0.524454032507677,52.4454032507677,56.1050620412354
plexiglas_3H00,183.284,15.721,18.1149795512831,,183.284,36.146,34.7133237249678,,183.284,43.4930559397997,0.521845147840273,52.1845147840273,55.4858965769112
plexiglas_3H00,183.549,14.539,17.8755815961548,,183.549,39.419,34.856591352471,,183.549,36.8832288997692,0.512832176141272,51.2832176141272,54.8612931131096
plexiglas_3H00,183.813,15.084,17.5419234365393,,183.813,42.419,35.3128322172239,,183.813,35.5595369999293,0.496757760143158,49.6757760143158,54.2177973343974
plexiglas_3H00,184.078,15.811,17.2961310928854,,184.078,41.418,36.0234489955015,,184.078,38.1742237674441,0.480135344482013,48.0135344482013,53.5798055204125
plexiglas_3H00,184.342,16.811,17.1476179835968,,184.342,38.873,36.5629040959514,,184.342,43.2459547758084,0.468989496528958,46.8989496528958,52.9727082806928
