material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
plexiglas_7A670,173.232,24.329,#N/A,,173.232,26.786,#N/A,,173.232,90.8272978421564,#N/A,#N/A,#N/A
plexiglas_7A670,173.496,26.686,24.329,,173.496,28.501,26.786,,173.496,93.6318023928985,0.908272978421564,90.8272978421564,#N/A
plexiglas_7A670,173.761,27.954,24.5647,,173.761,31.911,26.9575,,173.761,87.5998871862367,0.911238059909116,91.1238059909116,#N/A
plexiglas_7A670,174.025,27.718,24.90363,,174.025,31.675,27.45285,,174.025,87.507498026835,0.907141881444003,90.7141881444003,#N/A
plexiglas_7A670,174.29,28.129,25.185067,,174.29,32.086,27.875065,,174.29,87.6675185439132,0.90349805462337,90.349805462337,#N/A
plexiglas_7A670,174.555,27.283,25.4794603,,174.555,34.241,28.2961585,,174.555,79.6793317952163,0.900456516032026,90.0456516032026,#N/A
plexiglas_7A670,174.819,29.102,25.65981427,,174.819,36.968,28.89064265,,174.819,78.7221380653538,0.888170421851104,88.8170421851104,#N/A
plexiglas_7A670,175.084,29.465,26.004032843,,175.084,38.604,29.698378385,,175.084,76.3262874313543,0.875604469237084,87.5604469237084,#N/A
plexiglas_7A670,175.348,28.647,26.3501295587,,175.348,38.968,30.5889405465,,175.348,73.5141654691028,0.861426681929165,86.1426681929165,#N/A
plexiglas_7A670,175.613,28.101,26.57981660283,,175.613,39.24,31.42684649185,,175.613,71.6131498470948,0.845767856782035,84.5767856782035,#N/A
plexiglas_7A670,175.877,29.374,26.731934942547,,175.877,40.604,32.208161842665,,175.877,72.3426263422323,0.829973938690788,82.9973938690788,#N/A
plexiglas_7A670,176.142,29.647,26.9961414482923,,176.142,41.24,33.0477456583985,,176.142,71.8889427740058,0.816882994905031,81.6882994905031,#N/A
plexiglas_7A670,176.406,28.101,27.2612273034631,,176.406,39.694,33.8669710925587,,176.406,70.7940746712349,0.804950263457513,80.4950263457513,#N/A
plexiglas_7A670,176.671,27.737,27.3452045731168,,176.671,37.24,34.4496739833028,,176.671,74.4817400644468,0.793772521225326,79.3772521225326,#N/A
plexiglas_7A670,176.935,28.192,27.3843841158051,,176.935,36.058,34.7287065849725,,176.935,78.1851461534195,0.788523006141974,78.8523006141974,#N/A
plexiglas_7A670,177.2,28.737,27.4651457042246,,177.2,36.421,34.8616359264753,,177.2,78.902281650696,0.787832956610235,78.7832956610235,#N/A
plexiglas_7A670,177.464,28.283,27.5923311338021,,177.464,35.512,35.0175723338277,,177.464,79.6435007884659,0.787956711297982,78.7956711297982,#N/A
plexiglas_7A670,177.729,27.646,27.6613980204219,,177.729,36.33,35.067015100445,,177.729,76.0968896229012,0.788815299539735,78.8815299539735,#N/A
plexiglas_7A670,177.993,28.101,27.6598582183797,,177.993,36.876,35.1933135904005,,177.993,76.2040351448096,0.785940719885052,78.5940719885052,#N/A
plexiglas_7A670,178.258,29.828,27.7039723965418,,178.258,36.876,35.3615822313604,,178.258,80.8872979715804,0.783448325792743,78.3448325792743,#N/A
plexiglas_7A670,178.523,28.737,27.9163751568876,,178.523,37.694,35.5130240082244,,178.523,76.2375974956226,0.786088370013843,78.6088370013843,#N/A
plexiglas_7A670,178.787,28.282,27.9984376411988,,178.787,36.057,35.731121607402,,178.787,78.4369193221843,0.783586867180759,78.3586867180759,#N/A
plexiglas_7A670,179.052,28.1,28.0267938770789,,179.052,35.148,35.7637094466618,,179.052,79.9476499374075,0.783665741353768,78.3665741353768,#N/A
plexiglas_7A670,179.316,29.918,28.034114489371,,179.316,36.148,35.7021385019956,,179.316,82.7652982184353,0.785222277029822,78.5222277029822,#N/A
plexiglas_7A670,179.581,29.827,28.2225030404339,,179.581,36.784,35.746724651796,,179.581,81.0868856024359,0.789512978191582,78.9512978191582,#N/A
plexiglas_7A670,179.845,28.464,28.3829527363905,,179.845,37.693,35.8504521866164,,179.845,75.5153476772876,0.791704176802165,79.1704176802165,#N/A
plexiglas_7A670,180.11,27.373,28.3910574627515,,180.11,37.693,36.0347069679548,,180.11,72.620911044491,0.787880902930591,78.7880902930591,#N/A
plexiglas_7A670,180.374,26.736,28.2892517164763,,180.374,36.693,36.2005362711593,,180.374,72.8640340119369,0.781459465256988,78.1459465256988,#N/A
plexiglas_7A670,180.639,28.372,28.1339265448287,,180.639,33.693,36.2497826440434,,180.639,84.2074021310065,0.776112972071895,77.6112972071895,#N/A
plexiglas_7A670,180.903,27.009,28.1577338903458,,180.903,31.511,35.994104379639,,180.903,85.7129256450129,0.782287387772147,78.2287387772147,#N/A
plexiglas_7A670,181.168,26.645,28.0428605013113,,181.168,31.874,35.5457939416751,,181.168,83.594779444061,0.788922046510623,78.8922046510623,#N/A
plexiglas_7A670,181.432,26.19,27.9030744511801,,181.432,33.056,35.1786145475076,,181.432,79.2291868344627,0.793182870050152,79.3182870050152,#N/A
plexiglas_7A670,181.697,24.554,27.7317670060621,,181.697,34.329,34.9663530927569,,181.697,71.525532348743,0.793098637781778,79.3098637781778,#N/A
