material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
schreiberglass-Dunkelgruen_7888,173.232,27.148,#N/A,,173.232,19.372,#N/A,,173.232,140.140408837497,#N/A,#N/A,#N/A
schreiberglass-Dunkelgruen_7888,173.496,28.815,27.148,,173.496,21.729,19.372,,173.496,132.61079663123,1.40140408837497,140.140408837497,#N/A
schreiberglass-Dunkelgruen_7888,173.761,29.815,27.3147,,173.761,23.497,19.6077,,173.761,126.888538962421,1.39305986933705,139.305986933705,#N/A
schreiberglass-Dunkelgruen_7888,174.025,31.148,27.56473,,174.025,25.094,19.99663,,174.025,124.125288913685,1.37846877198808,137.846877198808,#N/A
schreiberglass-Dunkelgruen_7888,174.29,32.515,27.923057,,174.29,26.272,20.506367,,174.29,123.762941534714,1.36167742438239,136.167742438239,#N/A
schreiberglass-Dunkelgruen_7888,174.555,33.724,28.3822513,,174.555,28.781,21.0829303,,174.555,117.174524860151,1.34621947215753,134.621947215753,#N/A
schreiberglass-Dunkelgruen_7888,174.819,35.906,28.91642617,,174.819,32.872,21.85273727,,174.819,109.229739596009,1.32324046240638,132.324046240638,#N/A
schreiberglass-Dunkelgruen_7888,175.084,34.633,29.615383553,,175.084,33.69,22.954663543,,175.084,102.799050163253,1.2901684878771,129.01684878771,#N/A
schreiberglass-Dunkelgruen_7888,175.348,34.36,30.1171451977,,175.348,33.962,24.0281971887,,175.348,101.171898003651,1.25340844180618,125.340844180618,#N/A
schreiberglass-Dunkelgruen_7888,175.613,33.087,30.54143067793,,175.613,32.326,25.02157746983,,175.613,102.354142176576,1.22060372551473,122.060372551473,#N/A
schreiberglass-Dunkelgruen_7888,175.877,32.541,30.795987610137,,175.877,33.69,25.752019722847,,175.877,96.5894924309884,1.19586688506669,119.586688506669,#N/A
schreiberglass-Dunkelgruen_7888,176.142,33.087,30.9704888491233,,176.142,34.144,26.5458177505623,,176.142,96.9042877225867,1.16668053476964,116.668053476964,#N/A
schreiberglass-Dunkelgruen_7888,176.406,33.905,31.182139964211,,176.406,33.962,27.3056359755061,,176.406,99.8321653612861,1.14196717454896,114.196717454896,#N/A
schreiberglass-Dunkelgruen_7888,176.671,33.268,31.4544259677899,,176.671,35.598,27.9712723779555,,176.671,93.4546884656441,1.1245261045965,112.45261045965,#N/A
schreiberglass-Dunkelgruen_7888,176.935,32.814,31.6357833710109,,176.935,35.507,28.7339451401599,,176.935,92.4155800264736,1.10098989946199,110.098989946199,#N/A
schreiberglass-Dunkelgruen_7888,177.2,30.814,31.7536050339098,,177.2,32.78,29.4112506261439,,177.2,94.0024405125076,1.07964144189379,107.964144189379,#N/A
schreiberglass-Dunkelgruen_7888,177.464,28.268,31.6596445305188,,177.464,28.962,29.7481255635295,,177.464,97.6037566466404,1.06425678696653,106.425678696653,#N/A
schreiberglass-Dunkelgruen_7888,177.729,29.177,31.3204800774669,,177.729,27.507,29.6695130071766,,177.729,106.071181880976,1.05564523657301,105.564523657301,#N/A
schreiberglass-Dunkelgruen_7888,177.993,31.177,31.1061320697203,,177.993,28.325,29.4532617064589,,177.993,110.068843777582,1.05611841499031,105.611841499031,#N/A
