material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
schreiberglass-Hell_Kobaltblau_7883,173.232,5.833,#N/A,,173.232,19.372,#N/A,,173.232,30.1104687177369,#N/A,#N/A,#N/A
schreiberglass-Hell_Kobaltblau_7883,173.496,8.571,5.833,,173.496,21.729,19.372,,173.496,39.4449813613144,0.301104687177369,30.1104687177369,#N/A
schreiberglass-Hell_Kobaltblau_7883,173.761,9.25,6.1068,,173.761,23.497,19.6077,,173.761,39.3667276673618,0.311449073578237,31.1449073578237,#N/A
schreiberglass-Hell_Kobaltblau_7883,174.025,9.667,6.42112,,174.025,25.094,19.99663,,174.025,38.5231529449271,0.321110107053038,32.1110107053038,#N/A
schreiberglass-Hell_Kobaltblau_7883,174.29,10.3,6.745708,,174.29,26.272,20.506367,,174.29,39.2052375152253,0.328956757674336,32.8956757674336,#N/A
schreiberglass-Hell_Kobaltblau_7883,174.555,11.091,7.1011372,,174.555,28.781,21.0829303,,174.555,38.5358396164136,0.336819270326953,33.6819270326953,#N/A
schreiberglass-Hell_Kobaltblau_7883,174.819,13.091,7.50012348,,174.819,32.872,21.85273727,,174.819,39.8241664638598,0.343212083105779,34.3212083105779,#N/A
schreiberglass-Hell_Kobaltblau_7883,175.084,15.182,8.059211132,,175.084,33.69,22.954663543,,175.084,45.0638171564262,0.351092540167405,35.1092540167405,#N/A
schreiberglass-Hell_Kobaltblau_7883,175.348,18.091,8.7714900188,,175.348,33.962,24.0281971887,,175.348,53.2683587539014,0.36504985995891,36.504985995891,#N/A
schreiberglass-Hell_Kobaltblau_7883,175.613,20.545,9.70344101692,,175.613,32.326,25.02157746983,,175.613,63.5556517973149,0.387802928437266,38.7802928437266,#N/A
schreiberglass-Hell_Kobaltblau_7883,175.877,21.909,10.787596915228,,175.877,33.69,25.752019722847,,175.877,65.0311665182547,0.418902945529252,41.8902945529252,#N/A
