material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
schreiberglass-Hellgruen_7886,173.232,18.496,#N/A,,173.232,19.372,#N/A,,173.232,95.4780094982449,#N/A,#N/A,#N/A
schreiberglass-Hellgruen_7886,173.496,18.686,18.496,,173.496,21.729,19.372,,173.496,85.9956739840766,0.954780094982449,95.4780094982449,#N/A
schreiberglass-Hellgruen_7886,173.761,20.079,18.515,,173.761,23.497,19.6077,,173.761,85.4534621441035,0.94427189318482,94.427189318482,#N/A
schreiberglass-Hellgruen_7886,174.025,21.718,18.6714,,174.025,25.094,19.99663,,174.025,86.5465848409978,0.93372733305562,93.372733305562,#N/A
schreiberglass-Hellgruen_7886,174.29,23.329,18.97606,,174.29,26.272,20.506367,,174.29,88.7979598051157,0.92537405577497,92.537405577497,#N/A
schreiberglass-Hellgruen_7886,174.555,24.011,19.411354,,174.555,28.781,21.0829303,,174.555,83.4265661373823,0.920714232973583,92.0714232973583,#N/A
schreiberglass-Hellgruen_7886,174.819,27.829,19.8713186,,174.819,32.872,21.85273727,,174.819,84.6586760769044,0.909328582249504,90.9328582249504,#N/A
schreiberglass-Hellgruen_7886,175.084,28.192,20.66708674,,175.084,33.69,22.954663543,,175.084,83.6806173938854,0.900343701456796,90.0343701456797,#N/A
schreiberglass-Hellgruen_7886,175.348,28.92,21.419578066,,175.348,33.962,24.0281971887,,175.348,85.1539956421883,0.891435087609204,89.1435087609204,#N/A
schreiberglass-Hellgruen_7886,175.613,31.01,22.1696202594,,175.613,32.326,25.02157746983,,175.613,95.9289735816371,0.886020087507721,88.6020087507721,#N/A
schreiberglass-Hellgruen_7886,175.877,29.101,23.05365823346,,175.877,33.69,25.752019722847,,175.877,86.3787474027901,0.895217481252819,89.5217481252819,#N/A
schreiberglass-Hellgruen_7886,176.142,28.465,23.658392410114,,176.142,34.144,26.5458177505623,,176.142,83.3675023430178,0.891228615837719,89.1228615837719,#N/A
schreiberglass-Hellgruen_7886,176.406,29.101,24.1390531691026,,176.406,33.962,27.3056359755061,,176.406,85.6869442317885,0.884031896959148,88.4031896959148,#N/A
schreiberglass-Hellgruen_7886,176.671,29.101,24.6352478521923,,176.671,35.598,27.9712723779555,,176.671,81.7489746614978,0.880733901529903,88.0733901529904,#N/A
schreiberglass-Hellgruen_7886,176.935,29.555,25.0818230669731,,176.935,35.507,28.7339451401599,,176.935,83.2371081758527,0.872898689846719,87.289868984672,#N/A
schreiberglass-Hellgruen_7886,177.2,28.555,25.5291407602758,,177.2,32.78,29.4112506261439,,177.2,87.111043319097,0.868005957474746,86.8005957474746,#N/A
schreiberglass-Hellgruen_7886,177.464,29.373,25.8317266842482,,177.464,28.962,29.7481255635295,,177.464,101.419100890822,0.868348045293895,86.8348045293895,#N/A
schreiberglass-Hellgruen_7886,177.729,28.464,26.1858540158234,,177.729,27.507,29.6695130071766,,177.729,103.479114407242,0.882584557740784,88.2584557740784,#N/A
