material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
schreiberglass-Rot_7870,173.232,4.677,#N/A,,173.232,19.372,#N/A,,173.232,24.1430931240966,#N/A,#N/A,#N/A
schreiberglass-Rot_7870,173.496,5.701,4.677,,173.496,21.729,19.372,,173.496,26.2368263610843,0.241430931240966,24.1430931240966,#N/A
schreiberglass-Rot_7870,173.761,6.718,4.7794,,173.761,23.497,19.6077,,173.761,28.590883942631,0.243751179383609,24.375117938361,#N/A
schreiberglass-Rot_7870,174.025,9.177,4.97326,,174.025,25.094,19.99663,,174.025,36.5704949390292,0.248704906776792,24.8704906776792,#N/A
schreiberglass-Rot_7870,174.29,8.243,5.393634,,174.29,26.272,20.506367,,174.29,31.3756090133983,0.263022406650578,26.3022406650578,#N/A
schreiberglass-Rot_7870,174.555,7.57,5.6785706,,174.555,28.781,21.0829303,,174.555,26.3020742851187,0.269344465840216,26.9344465840216,#N/A
schreiberglass-Rot_7870,174.819,6.298,5.86771354,,174.819,32.872,21.85273727,,174.819,19.1591628133366,0.2685116041758,26.85116041758,#N/A
schreiberglass-Rot_7870,175.084,5.661,5.910742186,,175.084,33.69,22.954663543,,175.084,16.8032056990205,0.257496354713614,25.7496354713614,#N/A
schreiberglass-Rot_7870,175.348,7.934,5.8857679674,,175.348,33.962,24.0281971887,,175.348,23.3614039220305,0.244952541431946,24.4952541431946,#N/A
schreiberglass-Rot_7870,175.613,8.297,6.09059117066,,175.613,32.326,25.02157746983,,175.613,25.6666460434325,0.243413556879209,24.3413556879209,#N/A
schreiberglass-Rot_7870,175.877,8.116,6.311232053594,,175.877,33.69,25.752019722847,,175.877,24.0902344909469,0.245077167597644,24.5077167597644,#N/A
schreiberglass-Rot_7870,176.142,8.115,6.4917088482346,,176.142,34.144,26.5458177505623,,176.142,23.7669868791003,0.244547329799139,24.4547329799139,#N/A
schreiberglass-Rot_7870,176.406,8.115,6.65403796341114,,176.406,33.962,27.3056359755061,,176.406,23.8943525116306,0.243687346062183,24.3687346062183,#N/A
schreiberglass-Rot_7870,176.671,8.024,6.80013416707003,,176.671,35.598,27.9712723779555,,176.671,22.5405921680993,0.243111363515565,24.3111363515565,#N/A
schreiberglass-Rot_7870,176.935,5.479,6.92252075036302,,176.935,35.507,28.7339451401599,,176.935,15.430760131805,0.240917866189136,24.0917866189136,#N/A
schreiberglass-Rot_7870,177.2,5.933,6.77816867532672,,177.2,32.78,29.4112506261439,,177.2,18.0994508846858,0.230461763135687,23.0461763135687,#N/A
schreiberglass-Rot_7870,177.464,7.751,6.69365180779405,,177.464,28.962,29.7481255635295,,177.464,26.7626545128099,0.225010876517218,22.5010876517218,#N/A
schreiberglass-Rot_7870,177.729,9.842,6.79938662701465,,177.729,27.507,29.6695130071766,,177.729,35.779983276984,0.229170820072779,22.9170820072779,#N/A
schreiberglass-Rot_7870,177.993,11.479,7.10364796431318,,177.993,28.325,29.4532617064589,,177.993,40.5260370697264,0.2411837451183,24.11837451183,#N/A
schreiberglass-Rot_7870,178.258,8.751,7.54118316788186,,178.258,29.689,29.340435535813,,178.258,29.4755633399576,0.257023559131461,25.7023559131461,#N/A
schreiberglass-Rot_7870,178.523,8.842,7.66216485109368,,178.523,31.053,29.3752919822317,,178.523,28.4738994622098,0.260837061831702,26.0837061831702,#N/A
schreiberglass-Rot_7870,178.787,9.206,7.78014836598431,,178.787,32.052,29.5430627840086,,178.787,28.7220766254836,0.263349417183504,26.3349417183504,#N/A
schreiberglass-Rot_7870,179.052,10.569,7.92273352938588,,179.052,32.598,29.7939565056077,,179.052,32.4222344929137,0.2659174698028,26.59174698028,#N/A
schreiberglass-Rot_7870,179.316,12.387,8.18736017644729,,179.316,32.961,30.0743608550469,,179.316,37.5807772822427,0.272237212817553,27.2237212817553,#N/A
schreiberglass-Rot_7870,179.581,12.205,8.60732415880256,,179.581,31.78,30.3630247695422,,179.581,38.4046570169918,0.283480457699219,28.3480457699219,#N/A
schreiberglass-Rot_7870,179.845,12.842,8.96709174292231,,179.845,33.143,30.504722292588,,179.845,38.7472467791087,0.29395749474176,29.395749474176,#N/A
schreiberglass-Rot_7870,180.11,14.205,9.35458256863008,,180.11,36.961,30.7685500633292,,180.11,38.4324017207327,0.304030659533064,30.4030659533064,#N/A
schreiberglass-Rot_7870,180.374,13.75,9.83962431176707,,180.374,38.961,31.3877950569963,,180.374,35.2917019583686,0.313485681103102,31.3485681103102,#N/A
schreiberglass-Rot_7870,180.639,12.387,10.2306618805904,,180.639,39.87,32.1451155512967,,180.639,31.0684725357412,0.318264896707695,31.8264896707695,#N/A
schreiberglass-Rot_7870,180.903,11.023,10.4462956925313,,180.903,40.597,32.917603996167,,180.903,27.1522526295046,0.317346781793344,31.7346781793344,#N/A
schreiberglass-Rot_7870,181.168,12.478,10.5039661232782,,181.168,40.597,33.6855435965503,,181.168,30.7362613000961,0.311824153680984,31.1824153680984,#N/A
schreiberglass-Rot_7870,181.432,12.296,10.7013695109504,,181.432,41.325,34.3766892368953,,181.432,29.7543859649123,0.311297269996116,31.1297269996116,#N/A
schreiberglass-Rot_7870,181.697,12.296,10.8608325598553,,181.697,41.052,35.0715203132057,,181.697,29.9522556757283,0.309676696728936,30.9676696728936,#N/A
schreiberglass-Rot_7870,181.961,11.477,11.0043493038698,,181.961,39.688,35.6695682818852,,181.961,28.9180608748236,0.308508059780986,30.8508059780986,#N/A
schreiberglass-Rot_7870,182.226,9.659,11.0516143734828,,182.226,39.142,36.0714114536967,,182.226,24.6768177405345,0.306381533965459,30.6381533965459,#N/A
schreiberglass-Rot_7870,182.491,9.568,10.9123529361345,,182.491,38.233,36.378470308327,,182.491,25.0255015300918,0.299967339023508,29.9967339023508,#N/A
schreiberglass-Rot_7870,182.755,10.022,10.7779176425211,,182.755,35.87,36.5639232774943,,182.755,27.9397825480903,0.294769178917818,29.4769178917818,27.0524581030065
schreiberglass-Rot_7870,183.02,8.204,10.702325878269,,183.02,34.324,36.4945309497449,,183.02,23.9016431651323,0.293258348573015,29.3258348573015,27.1786616401531
