material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
schreiberglass-Zitronengelb_7851,173.232,14.053,#N/A,,173.232,19.372,#N/A,,173.232,72.5428453437952,#N/A,#N/A,#N/A
schreiberglass-Zitronengelb_7851,173.496,15.315,14.053,,173.496,21.729,19.372,,173.496,70.4818445395554,0.725428453437952,72.5428453437952,#N/A
schreiberglass-Zitronengelb_7851,173.761,18.636,14.1792,,173.761,23.497,19.6077,,173.761,79.3122526279951,0.723144478954696,72.3144478954696,#N/A
schreiberglass-Zitronengelb_7851,174.025,17.33,14.62488,,174.025,25.094,19.99663,,174.025,69.0603331473659,0.731367235379161,73.1367235379162,#N/A
schreiberglass-Zitronengelb_7851,174.29,16.986,14.895392,,174.29,26.272,20.506367,,174.29,64.6543848964677,0.726378885153084,72.6378885153085,#N/A
schreiberglass-Zitronengelb_7851,174.555,17.431,15.1044528,,174.555,28.781,21.0829303,,174.555,60.5642611445051,0.71643042902817,71.643042902817,#N/A
schreiberglass-Zitronengelb_7851,174.819,19.886,15.33710752,,174.819,32.872,21.85273727,,174.819,60.4952543197858,0.701839194353706,70.1839194353706,#N/A
schreiberglass-Zitronengelb_7851,175.084,19.977,15.791996768,,175.084,33.69,22.954663543,,175.084,59.2965271593945,0.68796463683371,68.796463683371,#N/A
schreiberglass-Zitronengelb_7851,175.348,22.068,16.2104970912,,175.348,33.962,24.0281971887,,175.348,64.9785053883752,0.674644750244662,67.4644750244662,#N/A
schreiberglass-Zitronengelb_7851,175.613,19.613,16.79624738208,,175.613,32.326,25.02157746983,,175.613,60.6725236651612,0.671270522505315,67.1270522505315,#N/A
schreiberglass-Zitronengelb_7851,175.877,19.886,17.077922643872,,175.877,33.69,25.752019722847,,175.877,59.0264173345206,0.663168280689091,66.3168280689091,#N/A
schreiberglass-Zitronengelb_7851,176.142,17.704,17.3587303794848,,176.142,34.144,26.5458177505623,,176.142,51.8509840674789,0.65391582744205,65.391582744205,#N/A
schreiberglass-Zitronengelb_7851,176.406,17.886,17.3932573415363,,176.406,33.962,27.3056359755061,,176.406,52.6647429480007,0.636984150713009,63.6984150713009,#N/A
schreiberglass-Zitronengelb_7851,176.671,16.704,17.4425316073827,,176.671,35.598,27.9712723779555,,176.671,46.9239844935109,0.623587349609787,62.3587349609787,#N/A
schreiberglass-Zitronengelb_7851,176.935,18.522,17.3686784466444,,176.935,35.507,28.7339451401599,,176.935,52.1643619567973,0.604465497582131,60.4465497582131,#N/A
schreiberglass-Zitronengelb_7851,177.2,20.249,17.48401060198,,177.2,32.78,29.4112506261439,,177.2,61.7724222086638,0.594466750979922,59.4466750979922,#N/A
schreiberglass-Zitronengelb_7851,177.464,20.794,17.760509541782,,177.464,28.962,29.7481255635295,,177.464,71.7975277950418,0.597029533973593,59.7029533973593,#N/A
schreiberglass-Zitronengelb_7851,177.729,20.794,18.0638585876038,,177.729,27.507,29.6695130071766,,177.729,75.5953030137783,0.60883569552471,60.883569552471,#N/A
schreiberglass-Zitronengelb_7851,177.993,19.794,18.3368727288434,,177.993,28.325,29.4532617064589,,177.993,69.8817299205649,0.622575282547475,62.2575282547475,#N/A
schreiberglass-Zitronengelb_7851,178.258,19.34,18.4825854559591,,178.258,29.689,29.340435535813,,178.258,65.1419717740577,0.629935620192112,62.9935620192112,#N/A
schreiberglass-Zitronengelb_7851,178.523,19.612,18.5683269103632,,178.523,31.053,29.3752919822317,,178.523,63.1565388207259,0.63210697349305,63.210697349305,#N/A
schreiberglass-Zitronengelb_7851,178.787,17.976,18.6726942193268,,178.787,32.052,29.5430627840086,,178.787,56.0838637214526,0.632050046938066,63.2050046938066,#N/A
schreiberglass-Zitronengelb_7851,179.052,17.249,18.6030247973942,,179.052,32.598,29.7939565056077,,179.052,52.9142892201976,0.624389204364072,62.4389204364072,#N/A
schreiberglass-Zitronengelb_7851,179.316,16.612,18.4676223176547,,179.316,32.961,30.0743608550469,,179.316,50.398956342344,0.614065329822482,61.4065329822482,#N/A
schreiberglass-Zitronengelb_7851,179.581,16.521,18.2820600858893,,179.581,31.78,30.3630247695422,,179.581,51.9855254877281,0.60211590329526,60.211590329526,#N/A
schreiberglass-Zitronengelb_7851,179.845,16.157,18.1059540773003,,179.845,33.143,30.504722292588,,179.845,48.7493588389705,0.593545940318221,59.3545940318221,#N/A
schreiberglass-Zitronengelb_7851,180.11,14.703,17.9110586695703,,180.11,36.961,30.7685500633292,,180.11,39.7797678634236,0.582122285018467,58.2122285018467,#N/A
schreiberglass-Zitronengelb_7851,180.374,12.703,17.5902528026133,,180.374,38.961,31.3877950569963,,180.374,32.6043992710659,0.560416963685139,56.0416963685139,#N/A
